data_coleta,categoria_key,id,nome,preco_original,preco_atual,preco_pix,desconto_pct,avaliacao,num_avaliacoes,disponivel,fabricante,categoria,garantia,frete_gratis,url
2026-05-16,placa_mae,280890,"Placa-Mãe MSI A520M-A PRO, AMD AM4, mATX, DDR4, Preto - A520M-A PRO",488.88,488.88,439.99,10,5,1285,True,MSI,Hardware/Placas-mãe/Placa-Mãe AMD,3 anos de garantia (3 meses de garantia legal + 33 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/280890/placa-mae-msi-a520m-a-pro-amd-am4-matx-ddr4-preto-a520m-a-pro
2026-05-16,placa_mae,114335,"Placa-Mãe MSI MPG B550 Gaming Plus, AMD AM4, ATX, DDR4, Preto - MPG B550 GAMING PLUS",1333.32,1333.32,1199.99,10,5,973,True,MSI,Hardware/Placas-mãe/Placa-Mãe AMD,1 ano de garantia (3 meses de garantia legal + 9 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/114335/placa-mae-msi-mpg-b550-gaming-plus-amd-am4-atx-ddr4-preto-mpg-b550-gaming-plus
2026-05-16,placa_mae,114781,"Placa-Mãe Gigabyte B550M Aorus Elite Rev. 1.3, AMD AM4, Micro ATX, DDR4, Preto - B550M AORUS ELITE",1056.27,1056.27,950.64,10,5,1145,True,Gigabyte,Hardware/Placas-mãe/Placa-Mãe AMD,1 ano de garantia (3 meses de garantia legal + 9 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/114781/placa-mae-gigabyte-b550m-aorus-elite-rev-1-3-amd-am4-micro-atx-ddr4-preto-b550m-aorus-elite
2026-05-16,placa_mae,165133,"Placa-Mãe ASUS TUF GAMING A520M-PLUS II, AMD AM4, mATX, DDR4, Preto - 90MB17G0-M0EAY0",744.43,744.43,669.99,10,5,1444,True,ASUS,Hardware/Placas-mãe/Placa-Mãe AMD,1 ano de garantia (3 meses de garantia legal + 9 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/165133/placa-mae-asus-tuf-gaming-a520m-plus-ii-amd-am4-matx-ddr4-preto-90mb17g0-m0eay0
2026-05-16,placa_mae,115216,"Placa-Mãe ASUS TUF Gaming B550M-Plus, AMD AM4, mATX, DDR4, Preto - 90MB14A0-C1BAY0",1111.1,1111.1,999.99,10,5,831,True,ASUS,Hardware/Placas-mãe/Placa-Mãe AMD,1 ano de garantia (3 meses de garantia legal + 9 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/115216/placa-mae-asus-tuf-gaming-b550m-plus-amd-am4-matx-ddr4-preto-90mb14a0-c1bay0
2026-05-16,placa_mae,114338,"Placa-Mãe MSI B550M Pro-VDH WiFi, AMD AM4, mATX, DDR4, Preto - B550M PRO-VDH WIFI",1033.33,1033.33,930.0,10,5,511,True,MSI,Hardware/Placas-mãe/Placa-Mãe AMD,1 ano de garantia (3 meses de garantia legal + 9 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/114338/placa-mae-msi-b550m-pro-vdh-wifi-amd-am4-matx-ddr4-preto-b550m-pro-vdh-wifi
2026-05-16,placa_mae,875852,"Placa Mãe Gigabyte B550M DS3H AC R2, AMD AM4, Micro ATX, DDR4, RGB, Wi-Fi, Bluetooth, Preto - B550M DS3H AC R2",911.1,911.1,819.99,10,5,74,True,Gigabyte,Hardware/Placas-mãe/Placa-Mãe AMD,1 ano de garantia (3 meses de garantia legal + 9 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/875852/placa-mae-gigabyte-b550m-ds3h-ac-r2-amd-am4-micro-atx-ddr4-rgb-wi-fi-bluetooth-preto-b550m-ds3h-ac-r2
2026-05-16,placa_mae,940305,"Placa-Mãe MSI PRO B760M-P, Intel B760, DDR4, Preto - PRO B760M-P DDR4",1122.11,1122.11,1009.9,10,5,7,True,MSI,Hardware/Placas-mãe/Placa-Mãe Intel,3 anos de garantia (3 meses de garantia legal + 33 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/940305/placa-mae-msi-pro-b760m-p-intel-b760-ddr4-preto-pro-b760m-p-ddr4
2026-05-16,placa_mae,172706,"Placa-Mãe Asus TUF Gaming B550M-PLUS, AMD AM4, mATX , DDR4, M.2, Aura para fita RGB - 90MB14A0-C1BAY0",849.0,849.0,798.06,6,5,140,True,ASUS,Hardware/Placas-mãe/Placa-Mãe AMD,Sem Garantia,False,https://www.kabum.com.br/produto/172706/placa-mae-asus-tuf-gaming-b550m-plus-amd-am4-matx-ddr4-m-2-aura-para-fita-rgb-90mb14a0-c1bay0
2026-05-16,placa_mae,726929,"Placa Mãe ASUS B650M-AYW Wi-Fi, AM5, mATX, DDR5, Wi-fi, Bluetooth - 90MB1KI0-M0EAY0",1333.32,1333.32,1199.99,10,5,34,True,ASUS,Hardware/Placas-mãe/Placa-Mãe AMD,1 ano de garantia (3 meses de garantia legal + 9 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/726929/placa-mae-asus-b650m-ayw-wi-fi-am5-matx-ddr5-wi-fi-bluetooth-90mb1ki0-m0eay0
2026-05-16,placa_mae,100672,"Placa-Mãe ASRock B450M Steel Legend, AMD AM4, mATX, DDR4, Preto - B450M Steel Legend",888.87,888.87,799.98,10,5,1939,True,ASRock,Hardware/Placas-mãe/Placa-Mãe AMD,1 ano de garantia (3 meses de garantia legal + 9 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/100672/placa-mae-asrock-b450m-steel-legend-amd-am4-matx-ddr4-preto-b450m-steel-legend
2026-05-16,placa_mae,692456,"Placa-Mãe Husky Nexus A520, M.2 NVMe, DDR4 3200MHz, Ryzen 5000/4000/3000, Micro-ATX, 64GB Dual Channel - HPM520",564.69,564.69,479.99,15,5,6,True,Husky,Hardware/Placas-mãe/Placa-Mãe AMD,1 ano de garantia (3 meses de garantia legal + 9 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/692456/placa-mae-husky-nexus-a520-m-2-nvme-ddr4-3200mhz-ryzen-5000-4000-3000-micro-atx-64gb-dual-channel-hpm520
2026-05-16,placa_mae,448251,"Placa-Mãe Gigabyte A520M K V2 Rev. 1.0, AMD, Micro ATX, DDR4, Preto - A520M K V2",533.32,533.32,479.99,10,5,154,True,Gigabyte,Hardware/Placas-mãe/Placa-Mãe AMD,1 ano de garantia (3 meses de garantia legal + 9 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/448251/placa-mae-gigabyte-a520m-k-v2-rev-1-0-amd-micro-atx-ddr4-preto-a520m-k-v2
2026-05-16,placa_mae,129653,"Placa-Mãe ASUS Prime A520M-E, AMD AM4, mATX, DDR4, Preto - 90MB1510-C1BAY0",488.88,488.88,439.99,10,5,155,True,ASUS,Hardware/Placas-mãe/Placa-Mãe AMD,1 ano de garantia (3 meses de garantia legal + 9 meses de garantia contratual junto ao fabricante),True,https://www.kabum.com.br/produto/129653/placa-mae-asus-prime-a520m-e-amd-am4-matx-ddr4-preto-90mb1510-c1bay0
2026-05-16,placa_mae,952750,"Placa-Mãe ASUS PRIME B550M-A, AMD AM4, mATX, DDR4, Preto - 90MB15K0-M0EAY0",741.1,741.1,666.99,10,5,3,True,ASUS,Hardware/Placas-mãe/Placa-Mãe AMD,1 ano de garantia (3 meses de garantia legal + 9 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/952750/placa-mae-asus-prime-b550m-a-amd-am4-matx-ddr4-preto-90mb15k0-m0eay0
2026-05-16,placa_mae,524349,"Placa-Mãe MSI Pro B760M-E, Intel LGA 1700, M-ATX, DDR4, Preto - PRO B760M-E DDR4",898.87,898.87,808.98,10,5,78,True,MSI,Hardware/Placas-mãe/Placa-Mãe Intel,3 anos de garantia (3 meses de garantia legal + 33 meses de garantia contratual junto ao fabricante),True,https://www.kabum.com.br/produto/524349/placa-mae-msi-pro-b760m-e-intel-lga-1700-m-atx-ddr4-preto-pro-b760m-e-ddr4
2026-05-16,placa_mae,692460,"Placa-Mãe Husky Nexus B550, M.2 NVMe, DDR4 3200MHz, Ryzen 5000/3000, Micro-ATX, HDMI/DP, 64GB Dual Channel - HPM550",858.81,858.81,729.99,15,4,7,True,Husky,Hardware/Placas-mãe/Placa-Mãe AMD,1 ano de garantia (3 meses de garantia legal + 9 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/692460/placa-mae-husky-nexus-b550-m-2-nvme-ddr4-3200mhz-ryzen-5000-3000-micro-atx-hdmi-dp-64gb-dual-channel-hpm550
2026-05-16,placa_mae,941241,"Placa-Mãe MSI PRO B760M-A WIFI, Intel, LGA 1700, Micro-ATX, DDR5, Wi-Fi - PROB760MAWIFI",1555.54,1555.54,1399.99,10,5,3,True,MSI,Hardware/Placas-mãe/Placa-Mãe Intel,3 anos de garantia (3 meses de garantia legal + 33 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/941241/placa-mae-msi-pro-b760m-a-wifi-intel-lga-1700-micro-atx-ddr5-wi-fi-prob760mawifi
2026-05-16,placa_mae,636798,"Placa Mãe Gigabyte H610M K DDR4, Intel LGA 1700, Micro ATX, DDR4, HDMI, M.2 - 9MH610MK-00-20",664.33,664.33,597.9,10,5,13,True,Gigabyte,Hardware/Placas-mãe/Placa-Mãe Intel,1 ano de garantia (3 meses de garantia legal + 9 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/636798/placa-mae-gigabyte-h610m-k-ddr4-intel-lga-1700-micro-atx-ddr4-hdmi-m-2-9mh610mk-00-20
2026-05-16,placa_mae,723279,"Placa Mãe Gigabyte B840M EAGLE WIFI6, AMD AM5, Micro ATX, DDR5, RGB, Wi-Fi 6, Bluetooth, Preto - B84MELW-00",1066.56,1066.56,959.9,10,5,14,True,Gigabyte,Hardware/Placas-mãe/Placa-Mãe AMD,1 ano de garantia (3 meses de garantia legal + 9 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/723279/placa-mae-gigabyte-b840m-eagle-wifi6-amd-am5-micro-atx-ddr5-rgb-wi-fi-6-bluetooth-preto-b84melw-00
2026-05-16,placa_mae,692459,"Placa-Mãe Husky Nexus B450, M.2 NVMe, DDR4 3200MHz, Ryzen 5000/3000/2000, Micro-ATX, 64GB Dual Channel - HPM450",647.05,647.05,549.99,15,5,4,True,Husky,Hardware/Placas-mãe/Placa-Mãe AMD,1 ano de garantia (3 meses de garantia legal + 9 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/692459/placa-mae-husky-nexus-b450-m-2-nvme-ddr4-3200mhz-ryzen-5000-3000-2000-micro-atx-64gb-dual-channel-hpm450
2026-05-16,placa_mae,524346,"Placa Mãe MSI Pro B650M-P, AMD AM5, M-ATX, DDR5 - PRO B650M-P",1139.99,1139.99,1025.99,10,5,57,True,MSI,Hardware/Placas-mãe/Placa-Mãe AMD,3 anos de garantia (3 meses de garantia legal + 33 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/524346/placa-mae-msi-pro-b650m-p-amd-am5-m-atx-ddr5-pro-b650m-p
