data_coleta,categoria_key,id,nome,preco_original,preco_atual,preco_pix,desconto_pct,avaliacao,num_avaliacoes,disponivel,fabricante,categoria,garantia,frete_gratis,url
2026-05-16,ram,922165,"Memória RAM Husky Impulse, 8GB, 3200MHz, DDR4, CL22, Preto - HRM001083222PT",647.05,647.05,549.99,15,5,224,True,Husky,Hardware/Memória RAM/DDR 4/3200MHz,3 anos de garantia (3 meses de garantia legal + 33 meses de garantia contratual junto ao fabricante),True,https://www.kabum.com.br/produto/922165/memoria-ram-husky-impulse-8gb-3200mhz-ddr4-cl22-preto-hrm001083222pt
2026-05-16,ram,172366,"Memória RAM Kingston Fury Beast, 16GB, 3200MHz, DDR4, CL16, Preto - KF432C16BB1/16",1319.66,1319.66,1121.71,15,5,1071,True,Kingston,Hardware/Memória RAM/DDR 4,10 anos de garantia (3 meses de garantia legal + 117 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/172366/memoria-ram-kingston-fury-beast-16gb-3200mhz-ddr4-cl16-preto-kf432c16bb1-16
2026-05-16,ram,383892,"Memória RAM Rise Mode Z, 8GB, 3200MHz, DDR4, CL19, Preto - RM-D4-8G-3200Z",588.22,588.22,499.99,15,5,606,True,Rise Mode,Hardware/Memória RAM/DDR 4/3200MHz,6 meses de garantia (3 meses de garantia legal + 3 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/383892/memoria-ram-rise-mode-z-8gb-3200mhz-ddr4-cl19-preto-rm-d4-8g-3200z
2026-05-16,ram,911804,"Memória para Notebook Rise Mode Value, 8GB, 3200MHz, DDR4, CL22, Preto - RM-D4-8G-3200VN",388.88,388.88,349.99,10,5,24,True,Rise Mode,Hardware/Memória RAM/DDR 4/3200MHz,1 ano de garantia (3 meses de garantia legal + 9 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/911804/memoria-para-notebook-rise-mode-value-8gb-3200mhz-ddr4-cl22-preto-rm-d4-8g-3200vn
2026-05-16,ram,172365,"Memória RAM Kingston Fury Beast, 8GB, 3200MHz, DDR4, CL16, Preto - KF432C16BB/8",952.74,952.74,809.83,15,5,1519,True,Kingston,Hardware/Memória RAM/DDR 4,10 anos de garantia (3 meses de garantia legal + 117 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/172365/memoria-ram-kingston-fury-beast-8gb-3200mhz-ddr4-cl16-preto-kf432c16bb-8
2026-05-16,ram,480402,"Memoria RAM Para Notebook Rise Mode Value, 16GB, 3200MHZ, DDR4, CL22 - RM-D4-16G-3200VN",1058.81,1058.81,899.99,15,5,125,True,Rise Mode,Hardware/Memória RAM/DDR 4/3200MHz,1 ano de garantia (3 meses de garantia legal + 9 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/480402/memoria-ram-para-notebook-rise-mode-value-16gb-3200mhz-ddr4-cl22-rm-d4-16g-3200vn
2026-05-16,ram,526516,"Memória RAM XPG Lancer, RGB, 32GB (2x16GB), 6000MHz, DDR5, CL30, Preto - AX5U6000C3016G-DCLARBK",4235.28,4235.28,3599.99,15,5,252,True,XPG,Hardware/Memória RAM/DDR 5,10 anos de garantia (3 meses de garantia legal + 117 meses de garantia contratual junto ao fabricante),True,https://www.kabum.com.br/produto/526516/memoria-ram-xpg-lancer-rgb-32gb-2x16gb-6000mhz-ddr5-cl30-preto-ax5u6000c3016g-dclarbk
2026-05-16,ram,922166,"Memória RAM Husky Impulse, 16GB, 3200MHz, DDR4, CL22, Preto - HRM001163222PT",1176.46,1176.46,999.99,15,5,66,True,Husky,Hardware/Memória RAM/DDR 4/3200MHz,3 anos de garantia (3 meses de garantia legal + 33 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/922166/memoria-ram-husky-impulse-16gb-3200mhz-ddr4-cl22-preto-hrm001163222pt
2026-05-16,ram,99429,"Memória RAM Rise Mode, 8GB, 1600MHz, DDR3, CL11 - RM-D3-8G1600V",163.52,163.52,138.99,15,5,436,True,Rise Mode,Hardware/Memória RAM/DDR 3/1600 Mhz PC12800,1 ano de garantia (3 meses de garantia legal + 9 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/99429/memoria-ram-rise-mode-8gb-1600mhz-ddr3-cl11-rm-d3-8g1600v
2026-05-16,ram,102452,"Memória RAM para Notebook Rise Mode, 8GB, 2400MHz, DDR4, CL17 - RM-D4-8G-2400VN",0.0,274.99,274.99,0,5,191,True,Rise Mode,Hardware/Memória RAM/DDR 4/2400MHz,3 anos de garantia (3 meses de garantia legal + 33 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/102452/memoria-ram-para-notebook-rise-mode-8gb-2400mhz-ddr4-cl17-rm-d4-8g-2400vn
2026-05-16,ram,677473,"Memória RAM XPG Lancer Blade, 16GB, RGB, DDR5, 6000MHz, Single Tray, CL48, Preto  - AX5U6000C4816G-SLABRBK",2717.64,2717.64,2309.99,15,5,12,True,XPG,Hardware/Memória RAM/DDR 5,1 ano de garantia (3 meses de garantia legal + 9 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/677473/memoria-ram-xpg-lancer-blade-16gb-rgb-ddr5-6000mhz-single-tray-cl48-preto-ax5u6000c4816g-slabrbk
2026-05-16,ram,626844,"Memória RAM Husky Impulse, 8GB, 3200MHz, DDR4, CL16, Preto - HRM001083216PT",0.0,1176.46,999.99,15,4,33,True,Husky,Hardware/Memória RAM/DDR 4,3 anos de garantia (3 meses de garantia legal + 33 meses de garantia contratual junto ao fabricante),True,https://www.kabum.com.br/produto/626844/memoria-ram-husky-impulse-8gb-3200mhz-ddr4-cl16-preto-hrm001083216pt
2026-05-16,ram,677475,"Memória RAM XPG Lancer Blade, 16GB, RGB, DDR5, 6000MHz, Single Tray, CL48, Branco - AX5U6000C4816G-SLABRWH",2117.64,2117.64,1799.99,15,5,23,True,XPG,Hardware/Memória RAM/DDR 5,1 ano de garantia (3 meses de garantia legal + 9 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/677475/memoria-ram-xpg-lancer-blade-16gb-rgb-ddr5-6000mhz-single-tray-cl48-branco-ax5u6000c4816g-slabrwh
2026-05-16,ram,466803,"Memória RAM para Notebook Rise Mode Value Series, 8GB, 1600MHz, DDR3, CL11 - RM-D3-8G1600NL",188.12,188.12,159.9,15,5,198,True,Rise Mode,Hardware/Memória RAM/DDR 3/1600 Mhz PC12800,1 ano de garantia (3 meses de garantia legal + 9 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/466803/memoria-ram-para-notebook-rise-mode-value-series-8gb-1600mhz-ddr3-cl11-rm-d3-8g1600nl
2026-05-16,ram,477150,"Memória RAM XPG Spectrix D35G, RGB, 16GB, 3200MHz, DDR4, CL16, Branco - AX4U320016G16A-SWHD35G",1164.69,1164.69,989.99,15,5,177,True,XPG,Hardware/Memória RAM/DDR 4,10 anos de garantia (3 meses de garantia legal + 117 meses de garantia contratual junto ao fabricante),True,https://www.kabum.com.br/produto/477150/memoria-ram-xpg-spectrix-d35g-rgb-16gb-3200mhz-ddr4-cl16-branco-ax4u320016g16a-swhd35g
2026-05-16,ram,193299,"Memória RAM Para Notebook Kingston Fury Impact, 8GB, 3200MHz, DDR4, CL20 - KF432S20IB/8",567.05,567.05,481.99,15,5,555,True,Kingston,Hardware/Memória RAM/DDR 4,10 anos de garantia (3 meses de garantia legal + 117 meses de garantia contratual junto ao fabricante),True,https://www.kabum.com.br/produto/193299/memoria-ram-para-notebook-kingston-fury-impact-8gb-3200mhz-ddr4-cl20-kf432s20ib-8
2026-05-16,ram,383893,"Memória RAM Rise Mode Z, 8GB, 3200MHz, DDR4, CL19, Branco - RM-D4-8G-3200ZW",629.4,629.4,534.99,15,5,256,True,Rise Mode,Hardware/Memória RAM/DDR 4/3200MHz,6 meses de garantia (3 meses de garantia legal + 3 meses de garantia contratual junto ao fabricante),True,https://www.kabum.com.br/produto/383893/memoria-ram-rise-mode-z-8gb-3200mhz-ddr4-cl19-branco-rm-d4-8g-3200zw
2026-05-16,ram,175083,"Memória RAM Rise Mode, 4GB, 1600MHz, DDR3, CL11 - RM-D3-4G1600V",0.0,146.9,132.21,10,0,0,True,Rise Mode,Hardware/Memória RAM/DDR 3,Sem Garantia,False,https://www.kabum.com.br/produto/175083/memoria-rise-mode-4gb-1600mhz-ddr3
2026-05-16,ram,643764,"Memória RAM para Notebook Husky, 8GB, 2666MHz, DDR4, CL19 - HRMN001082619PT",588.22,588.22,499.99,15,5,23,True,Husky,Hardware/Memória RAM/DDR 4/2666MHz,3 anos de garantia (3 meses de garantia legal + 33 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/643764/memoria-ram-para-notebook-husky-8gb-2666mhz-ddr4-cl19-hrmn001082619pt
2026-05-16,ram,466800,"Memória RAM Gamer Rise Mode Value, 8GB, 1600MHz, DDR3L, CL11, Preto - RM-D3-8G1600VL",164.69,164.69,139.99,15,5,89,True,Rise Mode,Hardware/Memória RAM/DDR 3/1600 Mhz PC12800,1 ano de garantia (3 meses de garantia legal + 9 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/466800/memoria-ram-gamer-rise-mode-value-8gb-1600mhz-ddr3l-cl11-preto-rm-d3-8g1600vl
2026-05-16,ram,513720,"Memória RAM Gamer Rise Mode Aura, ARGB, 16GB, 3200MHz, DDR4, CL19, Preto - RM-D4AB-16G-3200ARGB",976.46,976.46,829.99,15,4,20,True,Rise Mode,Hardware/Memória RAM/DDR 4/3200MHz,1 ano de garantia (3 meses de garantia legal + 9 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/513720/memoria-ram-gamer-rise-mode-aura-argb-16gb-3200mhz-ddr4-cl19-preto-rm-d4ab-16g-3200argb
2026-05-16,ram,264719,"Memória RAM Kingston Fury Beast, 32GB (2x16GB), 5200MHz, DDR5, CL40, para Intel XMP, Preto - KF552C40BBK2-32",0.0,3976.35,3379.9,15,5,18,True,Kingston,Hardware/Memória RAM/DDR 5,10 anos de garantia (3 meses de garantia legal + 117 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/264719/memoria-ram-kingston-fury-beast-32gb-2x16gb-5200mhz-ddr5-cl40-para-intel-xmp-preto-kf552c40bbk2-32
2026-05-16,ram,193303,"Memória RAM para Notebook Kingston Fury Impact, 16GB, 3200MHz, DDR4, CL20 - KF432S20IB/16",0.0,1270.58,1079.99,15,5,464,True,Kingston,Hardware/Memória RAM/DDR 4,10 anos de garantia (3 meses de garantia legal + 117 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/193303/memoria-ram-para-notebook-kingston-fury-impact-16gb-3200mhz-ddr4-cl20-kf432s20ib-16
2026-05-16,ram,427595,"Memória RAM para Notebook Kingston Fury Impact, 16GB, 5600MHz, DDR5, CL40, Preto - KF556S40IB-16",1976.35,1976.35,1679.9,15,5,29,True,Kingston,Hardware/Memória RAM/DDR 5,10 anos de garantia (3 meses de garantia legal + 117 meses de garantia contratual junto ao fabricante),True,https://www.kabum.com.br/produto/427595/memoria-ram-para-notebook-kingston-fury-impact-16gb-5600mhz-ddr5-cl40-preto-kf556s40ib-16
2026-05-16,ram,466802,"Memória RAM para Notebook Rise Mode Value Series, 4GB, 1600MHz, DDR3, CL11 - RM-D3-4G1600NL",129.4,129.4,109.99,15,5,41,True,Rise Mode,Hardware/Memória RAM/DDR 3/1600 Mhz PC12800,1 ano de garantia (3 meses de garantia legal + 9 meses de garantia contratual junto ao fabricante),True,https://www.kabum.com.br/produto/466802/memoria-ram-para-notebook-rise-mode-value-series-4gb-1600mhz-ddr3-cl11-rm-d3-4g1600nl
2026-05-16,ram,996480,"Memória RAM Husky Impulse, RGB, 8GB, 3200MHz, DDR4, CL22, Preto - HRM002083222RGB",666.66,666.66,599.99,10,0,0,True,Husky,Hardware/Memória RAM/DDR 4/3200MHz,1 ano de garantia (3 meses de garantia legal + 9 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/996480/memoria-ram-husky-impulse-rgb-8gb-3200mhz-ddr4-cl22-preto-hrm002083222rgb
2026-05-16,ram,536979,"Memoria RAM Para Notebook Rise Mode 16GB, 5200MHZ DDR5, Zeus Series, CL42 - RM-D5-16G-5200ZEN",1405.87,1405.87,1194.99,15,5,6,True,Rise Mode,Hardware/Memória RAM/DDR 5,1 ano de garantia (3 meses de garantia legal + 9 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/536979/memoria-ram-para-notebook-rise-mode-16gb-5200mhz-ddr5-zeus-series-cl42-rm-d5-16g-5200zen
2026-05-16,ram,233588,"Memória Kingston UDIMM, 8GB, 1600MHz, DDR3, Para Desktop KVR16N11/8",163.52,163.52,150.44,8,5,43,True,Kingston,Hardware/Memória RAM/DDR 3/1600 Mhz PC12800,Sem Garantia,False,https://www.kabum.com.br/produto/233588/memoria-kingston-udimm-8gb-1600mhz-ddr3-para-desktop-kvr16n11-8
2026-05-16,ram,893031,"Memória RAM Husky Impulse 16GB, 6000MHz, DDR5, CL48, Preto - HRM166049PT",2058.81,2058.81,1749.99,15,4,3,True,Husky,Hardware/Memória RAM/DDR 5/6000MHz,1 ano de garantia (3 meses de garantia legal + 9 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/893031/memoria-ram-husky-impulse-16gb-6000mhz-ddr5-cl48-preto-hrm166049pt
2026-05-16,ram,466683,"Memória RAM Gamer Rise Mode Venon, ARGB, 8GB, 3200Mhz, DDR4, CL19, Preto - RM-D4-8G-3200-RGB",1094.0,1094.0,929.9,15,5,43,True,Rise Mode,Hardware/Memória RAM/DDR 4/3200MHz,1 ano de garantia (3 meses de garantia legal + 9 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/466683/memoria-ram-gamer-rise-mode-venon-argb-8gb-3200mhz-ddr4-cl19-preto-rm-d4-8g-3200-rgb
2026-05-16,ram,506073,"Memoria RAM para Notebook  Kingston 16GB, 2666MHz, DDR4 - KVR26S19S8/16",850.32,850.32,807.8,5,5,2,True,Kingston,Hardware/Memória RAM/DDR 4/2666MHz,Sem Garantia,False,https://www.kabum.com.br/produto/506073/memoria-ram-para-notebook-kingston-16gb-2666mhz-ddr4-kvr26s19s8-16
2026-05-16,ram,532646,"Memoria Kingston, 8GB, DDR3, 1333mhz - Kvr1333d3n9/8g.",0.0,163.52,150.44,8,0,0,True,Kingston,Hardware/Memória RAM,Sem Garantia,False,https://www.kabum.com.br/produto/532646/memoria-kingston-8gb-ddr3-1333mhz-kvr1333d3n9-8g-
2026-05-16,ram,156594,"Memória XPG Spectrix D41, 8GB, 3200MHz, DDR4, RGB, CL 16, Cinza - AX4U32008G16A-ST41",705.87,705.87,599.99,15,5,12,True,XPG,Hardware/Memória RAM/DDR 4/3200MHz,10 anos de garantia (3 meses de garantia legal + 117 meses de garantia contratual junto ao fabricante),True,https://www.kabum.com.br/produto/156594/memoria-xpg-spectrix-d41-8gb-3200mhz-ddr4-rgb-cl-16-cinza-ax4u32008g16a-st41
2026-05-16,ram,643765,"Memória RAM para Notebook Husky, 8GB, 3200MHz, DDR4, CL19 - HRMN001083219PT",647.05,647.05,549.99,15,5,52,True,Husky,Hardware/Memória RAM/DDR 4,3 anos de garantia (3 meses de garantia legal + 33 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/643765/memoria-ram-para-notebook-husky-8gb-3200mhz-ddr4-cl19-hrmn001083219pt
2026-05-16,ram,528846,"Memória Para Notebook Adata XPG, 16GB, 5600MHz, DDR5, CL46 - AD5S560016G-S",2117.64,2117.64,1799.99,15,5,50,True,Adata,Hardware/Memória RAM/DDR 5,10 anos de garantia (3 meses de garantia legal + 117 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/528846/memoria-para-notebook-adata-xpg-16gb-5600mhz-ddr5-cl46-ad5s560016g-s
2026-05-16,ram,382752,"Memória RAM Corsair Vengeance RGB PRO SL, 16GB (2x8GB), 3200MHz, DDR4, CL16, Preto - CMH16GX4M2E3200C16",1882.34,1882.34,1599.99,15,5,18,True,Corsair,Hardware/Memória RAM/DDR 4/3200MHz,10 anos de garantia (3 meses de garantia legal + 117 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/382752/memoria-ram-corsair-vengeance-rgb-pro-sl-16gb-2x8gb-3200mhz-ddr4-cl16-preto-cmh16gx4m2e3200c16
2026-05-16,ram,988584,"Memória RAM Corsair Vengeance, RGB, 16GB (2x8GB), 5200MHz, DDR5, CL40, Intel XMP, Preto - CMH16GX5M2B5200C40",0.0,2242.21,2017.99,10,5,2,True,Corsair,Hardware/Memória RAM/DDR 5,10 anos de garantia (3 meses de garantia legal + 117 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/988584/memoria-ram-corsair-vengeance-rgb-16gb-2x8gb-5200mhz-ddr5-cl40-intel-xmp-preto-cmh16gx5m2b5200c40
2026-05-16,ram,163762,"Memória RAM Kingston, 8GB, 2400MHz, DDR4, CL17 - KVR24N17S8/8",0.0,481.79,448.06,7,5,9,True,Kingston,Hardware/Memória RAM/DDR 4,Sem Garantia,False,https://www.kabum.com.br/produto/163762/memoria-ram-kingston-8gb-2400mhz-ddr4-cl17-kvr24n17s8-8
2026-05-16,ram,474941,"Memória RAM XPG Gammix D35, 16GB, 3200MHz, DDR4, CL16, Preto - AX4U320016G16A-SBKD35",1411.75,1411.75,1199.99,15,5,126,True,XPG,Hardware/Memória RAM/DDR 4,10 anos de garantia (3 meses de garantia legal + 117 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/474941/memoria-ram-xpg-gammix-d35-16gb-3200mhz-ddr4-cl16-preto-ax4u320016g16a-sbkd35
2026-05-16,ram,378307,"Memória Ram Para Notebook Kingston Fury Impact, 16GB, 3200Mhz, DDR4, CL20, Sodimm, Preto - Kf432s20ib/16",0.0,949.9,902.41,5,5,5,True,Kingston,Hardware/Memória RAM/DDR 4/3200MHz,Sem Garantia,True,https://www.kabum.com.br/produto/378307/memoria-ram-para-notebook-kingston-fury-impact-16gb-3200mhz-ddr4-cl20-sodimm-preto-kf432s20ib-16
2026-05-16,ram,564690,Memoria   8GB P/ Notebook Kingston Ddr4 3200mhz Kvr32s22s8/8,523.27,523.27,481.41,8,5,1,True,Kingston,Hardware/Memória RAM/DDR 4/3200MHz,Sem Garantia,False,https://www.kabum.com.br/produto/564690/memoria-8gb-p-notebook-kingston-ddr4-3200mhz-kvr32s22s8-8
2026-05-16,ram,382750,"Memória RAM Corsair Vengeance RGB RS, 8GB, 3200MHz, DDR4, CL16, Preto - CMG8GX4M1E3200C16",0.0,728.22,618.99,15,5,47,True,Corsair,Hardware/Memória RAM/DDR 4/3200MHz,1 ano de garantia (3 meses de garantia legal + 9 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/382750/memoria-ram-corsair-vengeance-rgb-rs-8gb-3200mhz-ddr4-cl16-preto-cmg8gx4m1e3200c16
