data_coleta,categoria_key,id,nome,preco_original,preco_atual,preco_pix,desconto_pct,avaliacao,num_avaliacoes,disponivel,fabricante,categoria,garantia,frete_gratis,url,ssd_interface,ssd_geracao_pcie,ssd_capacidade_gb,ssd_notebook
2026-05-16,ssd,621162,"SSD Kingston NV3, 1 TB, M.2 2280, PCIe 4.0 x4, NVMe, Leitura: 6000 MB/s, Gravação: 4000 MB/s, Azul - SNV3S/1000G",1294.11,1294.11,1099.99,15,5,1462,True,Kingston,Hardware/SSD/SSD PCIe NVMe,5 anos de garantia (3 meses de garantia legal + 57 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/621162/ssd-kingston-nv3-1-tb-m-2-2280-pcie-4-0-x4-nvme-leitura-6000-mb-s-gravacao-4000-mb-s-azul-snv3s-1000g,NVMe,4.0,1024.0,False
2026-05-16,ssd,105104,"SSD Rise Mode Gamer Line, 120GB, SATA III, Leitura: 530MB/s, Gravação: 520MB/s, Preto - RM-SSD-120",0.0,176.46,149.99,15,5,200,True,Rise Mode,Hardware/SSD/SSD SATA,1 ano de garantia (3 meses de garantia legal + 9 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/105104/ssd-rise-mode-gamer-line-120gb-sata-iii-leitura-530mb-s-gravacao-520mb-s-preto-rm-ssd-120,SATA,,120.0,False
2026-05-16,ssd,85198,"SSD Kingston A400, 480GB, SATA III, 2.5"", Leitura: 500MB/s, Gravação: 450MB/s, Preto - SA400S37/480G",916.96,916.96,779.42,15,5,4217,True,Kingston,Hardware/SSD/SSD SATA,1 ano de garantia (3 meses de garantia legal + 9 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/85198/ssd-kingston-a400-480gb-sata-iii-2-5-leitura-500mb-s-gravacao-450mb-s-preto-sa400s37-480g,SATA,,480.0,False
2026-05-16,ssd,640757,"SSD Husky, SATA III, 256GB, 2.5"", Leitura 500MB/s, Gravação 450MB/s, Preto - HSSD001256",435.28,435.28,369.99,15,5,97,True,Husky,Hardware/SSD/SSD SATA,3 anos de garantia (3 meses de garantia legal + 33 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/640757/ssd-husky-sata-iii-256gb-2-5-leitura-500mb-s-gravacao-450mb-s-preto-hssd001256,SATA,,256.0,False
2026-05-16,ssd,626781,"SSD Husky 128GB, SATA III, 2.5"", Leitura 500MB/s, Gravação 450MB/s, Preto - HSSD001128",247.04,247.04,209.98,15,5,50,True,Husky,Hardware/SSD/SSD SATA,3 anos de garantia (3 meses de garantia legal + 33 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/626781/ssd-husky-128gb-sata-iii-2-5-leitura-500mb-s-gravacao-450mb-s-preto-hssd001128,SATA,,128.0,False
2026-05-16,ssd,514254,"SSD Rise Mode Gamer Line, 256GB, SATA III, Leitura: 530MB/s, Gravação: 520MB/s, Preto - RM-SSD-256",0.0,341.16,289.99,15,5,48,True,Rise Mode,Hardware/SSD/SSD SATA,1 ano de garantia (3 meses de garantia legal + 9 meses de garantia contratual junto ao fabricante),True,https://www.kabum.com.br/produto/514254/ssd-rise-mode-gamer-line-256gb-sata-iii-leitura-530mb-s-gravacao-520mb-s-preto-rm-ssd-256,SATA,,256.0,False
2026-05-16,ssd,95217,"SSD Kingston A400, 960GB, SATA III, 2.5"", Leitura: 500MB/s, Gravação: 450MB/s, Preto - SA400S37/960G",1057.64,1057.64,898.99,15,5,1384,True,Kingston,Hardware/SSD/SSD SATA,3 anos de garantia (3 meses de garantia legal + 33 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/95217/ssd-kingston-a400-960gb-sata-iii-2-5-leitura-500mb-s-gravacao-450mb-s-preto-sa400s37-960g,SATA,,960.0,False
2026-05-16,ssd,530975,"SSD Msi Spatium S270, 240GB, Sata Iii 2,5 Polegadas - S78-440n070-p83",343.33,343.33,309.0,10,5,1,True,MSI,Hardware/SSD/SSD SATA,Sem Garantia,False,https://www.kabum.com.br/produto/530975/ssd-msi-spatium-s270-240gb-sata-iii-2-5-polegadas-s78-440n070-p83,SATA,,240.0,False
2026-05-16,ssd,621161,"SSD Kingston NV3, 500 GB, M.2 2280, PCIe 4.0 x4, NVMe, Leitura: 5000 MB/s, Gravação: 3000 MB/s, Azul - SNV3S/500G",964.69,964.69,819.99,15,5,192,True,Kingston,Hardware/SSD/SSD PCIe NVMe,5 anos de garantia (3 meses de garantia legal + 57 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/621161/ssd-kingston-nv3-500-gb-m-2-2280-pcie-4-0-x4-nvme-leitura-5000-mb-s-gravacao-3000-mb-s-azul-snv3s-500g,NVMe,4.0,500.0,False
2026-05-16,ssd,85197,"SSD Kingston A400, 240GB, SATA III, 2.5"", Leitura: 500MB/s, Gravação: 350MB/s, Preto - SA400S37/240G",0.0,441.16,374.99,15,5,5445,True,Kingston,Hardware/SSD/SSD SATA,3 anos de garantia (3 meses de garantia legal + 33 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/85197/ssd-kingston-a400-240gb-sata-iii-2-5-leitura-500mb-s-gravacao-350mb-s-preto-sa400s37-240g,SATA,,240.0,False
