nome,preco_pix,preco_previsto,faixa_baixo,faixa_alto
"Placa Mãe Asus Tuf Gaming B860m-plus Wifi, Intel LGA  1851, Matx, Wf/blt, Ddr5 - Tuf Gaming B860m-plus Wifi",1899.0,1618.5929019577407,0.0,4305.760037019836
"Placa-Mãe AsRock, AMD AM4, HDMI, DVI e VGA - B450M-HDV",441.26,598.0824268796785,177.002047666596,1019.1628060927609
Placa Mae Intel 1151 Mv-h310v2 M.2 2xDDR4 HDMI/vga  Mv-h310v2 Macrovip,319.9,934.7848296183862,0.0,1918.2972978725304
Placa-mãe Biostar H610mh D5 6.3 LGA 1700 Ddr5 M.2 Micro-atx,541.22,1188.8042350839453,348.9882555488947,2028.6202146189958
"Placa-Mãe ASRock B860 Rock WiFi 7, Intel LGA 1851, ATX, DDR5 - 90-MXBUA0-A0UAYZ",1199.99,1734.2814913709842,1065.2543496134456,2403.308633128523
"Placa Mãe Gigabyte B850 AORUS ELITE WIFI7 ICE, AMD AM5, ATX, DDR5, RGB, Wi-Fi 7, Bluetooth, Branca - B85EL7E-00",2099.99,2260.608329958431,444.2496207870463,4076.967039129816
"Placa Mãe Asus B760m-ayw Wifi, Intel LGA  1700, Matx, Bluetooth, Ddr5 - B760m-ayw Wifi",1407.37,1618.5929019577407,0.0,4305.760037019836
"Placa-Mãe ASRock B850 Steel Legend WiFi, Ryzen B850, ATX, DDR5 - 90-MXBQS0-A0UAYZ",1999.99,1773.6964525836124,1096.9209855579024,2450.4719196093224
"Placa-Mãe ASUS PRIME B760M-A II, Intel LGA 1700, mATX, DDR5, Preto - 90MB1NG0-M0EAY0",1447.99,1658.5952420861424,1032.7576592381258,2284.432824934159
"Placa Mãe Brazil PC, Socket Intel LGA 1150, Chipset H81, Ddr3, Usb 3.0, Rede Gigabit, HDMI, Slot M.2 Nvme, Bpc-h81-itx-m.2-tg - Oem",186.9,969.0742268053543,0.0,3120.7468990291836
Placa-Mãe Lga Am4 Dx-a320 - Duex,446.36,518.7683540514984,217.66660326648434,819.8701048365124
Placa-mãe Chipset Intel H81 LGA 1150 Ddr3 Sata Usb 3.2 Upgrade PC,173.36,489.2131136693039,0.0,1480.8042847151999
"Placa-Mãe Biostar, AMD, DDR3, HDMI - A68N-2100K",425.59,437.6413091888754,108.81080770425609,766.4718106734947
"Placa-Mãe Gigabyte Z790 Aero G, Intel, LGA 1700, ATX, DDR5",3528.34,1746.6519053059685,190.5061765570781,3302.797634054859
"Placa Mãe ASUS PRIME H810M-A, Intel LGA 1851, mATX, DDR5, mATX, DDR5 - PRIME H810M-A",970.9,1759.564103693194,1096.4177738013896,2422.7104335849986
Placa Mãe Lenovo V15 G4 NM-F511 Intel® Core™ i7-1355U 8GB Integrada,3990.0,487.5388061237596,0.0,1217.0522162822583
"Placa Mãe Afox Inside, LGA 775 - G31-ma6",438.9,366.1739045943352,0.0,958.0074220103154
"Placa-Mãe Biostar H410MH 6.0, Intel 1200, mATX, DDR4",1099.0,668.5283742481794,280.41391793613747,1056.6428305602212
Placa Mãe Ntc B450m Am4 2xDDR4 Chipset Amd B450 Matx,389.98,655.5779546225752,200.0074393997507,1111.1484698453999
Placa Mãe Asrock B650m Pg Lightning Am5 4xDDR5 Chipset Amd B650 Matx,1053.79,1015.7413314287937,505.9219182564617,1525.5607446011259
Placa Mãe Acer Qam00 Sjv10-nl Mb 09928-3 Amd Athlon Ii Neo,599.0,319.96675173189357,0.0,764.0576283648754
Placa Mãe Asus Tuf Gaming B760m-plus Ii Matx LGA  1700 Ddr5 - 90mb1hd0-m0eay0,1606.43,1618.5929019577407,0.0,4305.760037019836
Placa Mãe Asrock X870e Nova Wifi Am5 4xDDR5 Chipset Amd X870e Atx,3300.0,2079.785698360022,1263.2796174850275,2896.2917792350163
"Placa-Mãe ASUS PRIME B550M-A, AMD AM4, mATX, DDR4, Preto - 90MB15K0-M0EAY0",666.99,736.2832791515003,362.9381756883659,1109.6283826146348
"Placa Mãe Gigabyte Z890 Aorus Elite Wifi7 Ice, Intel LGA  1851, Atx, Wf/blt, Ddr5 - Z890 A Elite Wf7 Ice",3434.56,2146.0305876666057,455.7006165536561,3836.3605587795555
Placa Mãe Notebook Acer Aspire One 722 P1ve6 La-7071p,175.89,319.96675173189357,0.0,764.0576283648754
Placa Mãe Macrovip Mv-h110v2 Socket LGA  1151 / Vga / Ddr4,468.7,986.3873687118979,0.0,2723.60292535651
"Placa-Mãe Afox, Intel H61 LGA 1155 2ª e 3ª Geração, mATX, DDR3 Até 16GB, VGA e HDMI - IH61-MA5",309.99,393.3129419947443,36.5592921329648,750.0665918565237
"Placa-Mãe Knup B250, Intel 1151, 2xDDR4, 32GB, HDMI/VGA - Revenger",363.85,691.5925307302522,124.52535852380151,1258.6597029367028
"Placa Mãe ASUS ROG CROSSHAIR X870E GLACIAL, AMD, AM5, ATX, DDR5, Wi-fi 7, Bluetooth, Branco - 90MB1NQ0-M0EAY0",12999.99,3630.3762831177523,1840.924436268278,5419.828129967227
"Placa Mãe Gigabyte B650m Gaming Plus Wifi (ver. 1.0), Ddr5, Am5, Micro Atx",1246.35,2657.8610126184863,343.2363280142622,4972.48569722271
"Placa Mãe Gigabyte B550M K , AMD AM4, Micro ATX, 4xDDR4 - 9MB55MK-00-10",719.99,764.1360314563901,13.160812239929783,1515.1112506728505
"Placa-Mãe ASUS TUF GAMING X870-PLUS WIFI 7, AMD AM5, DDR5, WIFI, Preto - 90MB1IU0-M0EAY0",3499.99,3975.9698862611945,398.63925897864783,7553.3005135437415
Placa Mãe H610m-f Asus Prime 12º E 13 º Geracao,758.69,1085.4136138489698,0.0,6771.120206510217
"Placa Mãe Gigabyte B860 DS3H WIFI6E, Intel, ATX, DDR5, Wi-Fi 6E, Bluetooth, Preto - B86D3H6-00",1499.99,1901.3516385854516,386.98263455591314,3415.72064261499
Placa Mae Sk1700 Ddr4 H510 Revenger,598.8,638.2023078357629,0.0,1437.7947589826713
"Placa Mãe Gaming NZXT N9 Z890, Intel Z890, LGA 1851, ATX, DDR5, com Wi-Fi e Cover, Preta - N9-Z89XT-B1",4399.99,3049.066370676864,1922.2803562772567,4175.852385076471
"Placa Mãe Msi Pro B760m-e, Intel, DDR4, LGA  1700 - 911-7d48-027",874.5,711.1469894722821,140.21848041328724,1282.075498531277
Placa Mãe Gigabyte Z890 Aorus Pro Ice Wifi 7 Intel LGA 1851 4xDDR5 Chipset Z890 Atx,4991.9,2663.687109227572,1651.44615653015,3675.928061924994
"Placa Mãe ASUS TUF B650EM-Plus, AMD AM5 ,m-ATX, DDR5, Wifi 6E, Bluetooth, Preto - 90MB1LU0",1919.9,1813.1597736720175,801.6643923626865,2824.6551549813485
"Placa Mãe MSI B840M GAMING WIFI6E, AMD AM5, DDR5, Bluetooth, Branco - B840M GAMING WIFI6E",1269.9,3225.202041224104,602.352301297205,5848.0517811510035
Placa Mãe Asus Proart Z890-creator Wifi Intel Z890 LGA  1851 (socket V1) Atx,6350.0,456.6774825866376,0.0,1263.4318285835116
Placa-mãe Bmbh61-d2hg-m2 Rev 2.0 Box Ddr3 1155p Rede 10/100/1000 Bluecase -16gb / Vga / HDMI / M.2 Nvme,148.13,375.3677970155517,52.883980395041874,697.8516136360615
"Placa-Mãe Asus Tuf Gaming A620m-Plus, AMD AM5, Micro Atx, DDR5",1020.0,2558.4000381187107,1573.5455231924159,3543.254553045005
"Placa Mãe PCyes H81 LGA  1150 2xDDR3 (max 16gb) M.2 Nvme 2xusb 3.0, 4xusb 2.0 Rede 1000 HDMI/vga M-atx - PCyh81-4g16",347.29,1031.0927899671851,0.0,3652.257538680545
Placa Mae LGA  1150 Ddr3 H81m-g Nvme HDMI Vga 4 Ge Goline,380.0,319.96675173189357,0.0,764.0576283648754
Placa Mãe Msi B850m Gaming Plus Wifi Am5 4xDDR5 Chipset Amd B850 Matx,1842.9,1442.9826753368563,1025.5831012716424,1860.3822494020703
"Placa Mãe Gigabyte B860 AORUS ELITE WF7 ICE, Intel, ATX, DDR5, LED RGB, Wi-Fi 7, Bluetooth, Branca - B86EL7E-00",1779.9,1901.3516385854516,386.98263455591314,3415.72064261499
Placa Mae Intel 1200 H510 M.2 2xDDR4 HDMI/vga H510m.2-tg Brazil PC,519.31,688.0875269553236,130.82474581358747,1245.3503080970597
"Placa-Mãe Revenger H610, Intel LGA 1700, DDR4, 64GB, Lan 100, USB, Chipset H610",415.36,673.1060081058167,1.3708627297493194,1344.8411534818842
Placa Mãe Asus B850m Ayw Gaming Wifi Am5 2xDDR5 Amd B850 Matx,1334.78,1503.6499389753467,740.6179830060618,2266.6818949446315
"Placa-Mãe ASUS Prime B760-Plus, Intel LGA 1700, Intel, ATX, DDR5, Preto - 90MB1EF0-M1EAY0",1494.99,2280.1739011302384,1610.8919258720298,2949.455876388447
"Placa Mãe Knup, LGA 1200, Chipset, Intel H510, DDR4, 10º E 11º Geração",401.19,880.1741127443853,0.0,2800.718258164672
"Placa Mãe Gigabyte X870E AORUS ELITE X3D ICE, AMD AM5, ATX, DDR5, PCIe 5.0, Wi-Fi 7, Bluetooth, Branco - X870E A ELITE X ICE",3299.99,2483.0722222584895,0.0,5057.094387929046
"Placa Mãe MSI Pro B650M-P, AMD AM5, M-ATX, DDR5 - PRO B650M-P",1025.99,1449.2291362044086,526.0233148175122,2372.434957591305
"Placa Mãe Gigabyte X870 GAMING X WIFI7, AMD AM5, ATX, DDR5, LED RGB, Bluetooth, Wi-Fi 7 - X870 GAMING X WIFI7",2949.99,2635.9274184631417,578.9133462154809,4692.941490710802
"Placa Mãe Asrock B850 Steel Legend Wifi, Amd Am5, Atx, Bluetooth, Ddr5 - B850 Steel Legend Wifi",2701.09,2655.3653689160847,1780.1873643930148,3530.5433734391545
Placa Mãe Intel B85 LGA  1150 Ddr3 | Suporte SSD M.2 | PC Gamer / Upgrade,279.9,319.96675173189357,0.0,764.0576283648754
"Placa Mãe Gigabyte B850m Force Wf6e, Amd Am5, Matx, Wf/blt, Ddr5 - B850m Force Wf6e",1689.6,1403.345401573229,0.0,3402.380024160395
Placa Mãe Asus Prime Z890m-plus Wi-fi Socket LGA  1851 / Ddr5,2400.32,1639.7369183115295,0.0,7274.319982818121
Placa Mae Msi B850 Gaming Plus Wifi Ddr5 Amd B850 Am5 911-7e56-007,1851.11,1360.0362541612433,460.71492251127654,2259.35758581121
"Placa-Mãe Biostar H510, Intel 1200, 2xDDR4, HDMI e VGA, 11ª Geração",649.0,783.895339429655,238.73628123827484,1329.0543976210352
