nome,preco_pix,preco_previsto,faixa_baixo,faixa_alto
"Memória Patriot Gamer Viper Elite II, 8GB, 3200MHz, DDR4, CL18 - PVE248G320C8",602.27,739.5420832556387,422.7310950917983,1056.353071419479
"Memória Kingston Fury Beast, 32GB, DDR4 3200mhz,  RGB, Preto - Kf432c16bb2a/32",2276.98,2954.786192135291,1663.2622499362747,4246.310134334308
"Memória Adata Ad5u, 32gb, 1x32gb, 4800mhz, Ddr5 - Preto",3914.99,3629.6147392630187,2973.924010882911,4285.305467643127
"Memória Hyperx, 16GB, 2666Mhz, DDR4, Para Notebook",725.88,929.5502164748021,568.511804753464,1290.5886281961402
"Memória Upgamer Up3200, 16GB, 3200MHz, DDR4 - Pc3200",979.0,992.5575395698331,583.8499869177211,1401.265092221945
Memoria Ram Kingston 8GB Ddr3 13333mhz Notebook,160.2,379.5595852433046,154.24841217490626,604.870758311703
Memória Ram 8GB Ddr4 Ecc Proliant Ml110 - Ml150 - Ml350 Gen9,639.0,751.8566634158827,475.4908171266075,1028.222509705158
"Memória Redragon Solar, 8GB, 3600mhz, RGB, DDR4, Dimm Amd/intel - Gm-805",764.99,715.0873768295797,304.8425006030591,1125.3322530561004
Memória Ram Ddr4 8GB 2666mhz Notebook Kingston,459.0,508.35389650416045,330.598731935974,686.1090610723469
"Memória RAM Corsair Vengeance LPX, 8GB, 2400MHz, DDR4, CL16, Preto - CMK8GX4M1A2400C16",549.9,736.3345299199617,169.1848671032467,1303.4841927366767
Memória SODIMM 4GB DDR4 Compatível com Notebook HP - OEM,295.19,250.66158097628247,28.16977233195138,473.15338962061355
"Memória RAM Kingston Fury Beast, 64GB (4X16GB), 6000MHz, DDR5, CL40,para Intel XMP, Preto - KF560C40BBK4-64",7899.9,8768.482260940145,5318.57221203866,12218.39230984163
"Memória Gamer Dale7 No Limits, 16GB, 2400Mhz, DDR4, Desktop, Vermelho",668.89,806.3452851672374,599.2946941033583,1013.3958762311165
Memória Ram 8GB Ddr4 Dell Poweredge T430 T440 T630 T640,799.0,751.8566634158827,475.4908171266075,1028.222509705158
Memória Ram  8GB Ddr4 Udimm Ecc - Lenovo Thinkserver,1259.0,751.8566634158827,475.4908171266075,1028.222509705158
"Smartwatch Haylou Solar Lite 2 Hcr01, Tela AmoLED 1,43, Chamadas, 1 Atm, Assistente De Voz - Preto",279.9,600.075823459429,282.0822561880159,918.0693907308421
"Memória Dale7, 4GB, 1333Mhz, DDR3L, Desktop 1.35v",106.89,117.60681976702074,58.407753637951835,176.80588589608965
Memória Ram 8GB 2133mhz Ecc Para Workstation  Z240,759.0,588.2287035515857,406.53707277165523,769.9203343315162
"Memória Dale7, 2GB, 1066Mhz, DDR3, Notebook, 1.5v",63.89,84.75045275779242,37.919564407946034,131.5813411076388
"Memória Gamer Xpg Spectrix D35g 16GB, RGB, DDR4, 3200 Mhz, Branco - Ax4u320016g16a-swhd35g",1112.0,1186.7303336024709,873.1604079845911,1500.3002592203507
"Memória RAM XPG Lancer Blade, 32GB(2x16GB), DDR5, 6000MHz, Dual Tray, CL48, Preto- AX5U6000C4816G-DTLABBK",3299.99,4124.717908026749,2425.9853131784257,5823.450502875072
"Memória RAM Kingston Fury Beast Expo, 32GB (2X16GB), 6000MT/s, DDR5, DIMM, CL30, Branco - KF560C30BWEK2-32",3809.9,3577.4172283025964,2342.4262604521437,4812.408196153049
"Memória Dale7, 2GB, 800Mhz, DDR2, Notebook, 1.8v",58.89,65.00601398019691,40.55004354586171,89.46198441453211
Memória Ram 8GB Ddr4 Ecc Hp Proliant Dl560 E Dl 580 Gen9,799.0,751.8566634158827,475.4908171266075,1028.222509705158
"Memória Lexar, 16gb Ddr5, 5600mhz, Cl46, Ld5u16g56c46st-bgs",2836.58,2000.3369976181018,223.67417476972582,3776.999820466478
Memoria 8GB P/ Notebook Kingston Ddr4 2400mhz Kvr24s17s8/8,459.0,847.358321356087,451.59188345522676,1243.1247592569473
Memória Ram 8GB Ddr4 2666mhz Sodimm Cb8gs2666  – Crucial,477.76,603.319612389269,420.3821889766969,786.2570358018411
Memória 8GB Ddr3 1600mhz Bpc - Bpc1600d3cl11/8gh,224.99,455.4335354300984,0.0,1141.31587564261
Memória Ram Crucial Ddr4 8GB 3200mhz - Ct8g4dfra32a,723.59,673.4162501411995,415.6888594496239,931.1436408327751
"Memória Para PC 16gb Kingston, Ddr5, 5600mhz, Cl46 - Kvr56u46bs8/16",2192.3,2012.885073450392,206.37531496480597,3819.394831935978
Memória Ram Para Servidor Hp Proliant Ml10 - 8GB Ecc.,599.0,555.675977269181,231.08802467259778,880.2639298657641
Memória Ram 16gb 2400 Mhz Ecc Registrada Para Hpe Proliant,990.0,822.3556572475734,536.4601889877492,1108.2511255073975
Memória Desktop 8GB Ddr3 1600mhz Kingston Kvr16n11/8 Dimm,281.05,211.08010282538322,33.95686467411542,388.203340976651
Kit de memória VENGEANCE RGB PRO 32 GB (2 x 16 GB) DDR4 DRAM 3200 MHz C16 TUF Gaming Edition — Preto - CMW32GX4M2E3200C16,2580.9,2313.9899048662373,1699.8722857984922,2928.1075239339825
"Memoria Kingston, 4GB, 1600MHz, DDR3L, Para Notebook - Kvr16ls11/4",158.31,249.13732956254825,0.0,653.5190309952826
"Memória RAM para Notebook Husky, 8GB, 3200MHz, DDR4, CL19 - HRMN001083219PT",549.99,674.7222521759844,263.6115293997723,1085.8329749521965
