nome,preco_pix,preco_previsto,faixa_baixo,faixa_alto
"Processador Intel Core i5-9500 Coffee Lake, 3.0GHz, LGA 1151, 9MB, S/ Cooler Tray - BX80684I9500",676.5,578.1535116702138,102.94890988668641,1053.3581134537412
"Processador Am5 Amd Ryzen 9 9950x, 4.3 Ghz, Max Turbo 5.7 Ghz, 080 Mb Cache, Com Vídeo Integrado, Sem Cooler, Gar: Fab",4119.21,3777.42784065448,1607.6529183059438,5947.202763003016
"Processador Intel Xeon E2124, 3.30GHz, Cache 8MB, Quad Core, LGA 1151, Sem Gráfico - BX80684E2124",1979.99,325.9535526949929,15.710045340524516,636.1970600494612
Processador Intel Core I7-4770 3.4ghz 8mb Cm8064601464303 LGA  1150 Oem,770.27,653.0808598141634,0.0,2162.9042683578973
"Processador Intel Core I9-10850K, 3.6GHz (5.2GHz), Cache 20MB, LGA 1200 - BX8070110850K",1389.33,2086.242666089151,919.1412021255462,3253.3441300527556
Intel® Core™ i3 8100 - LGA  1151 - Quad Core - 3.60ghz - Cache 6mb - Coffee Lake - Com Cooler - Oem,276.13,648.5516658736019,0.0,3788.9135032080667
Processador Intel i3-3220  3.30ghz  3mb Cache  FcLGA 1155,48.82,240.18396647500776,0.0,643.5116012063717
Processador Intel Core i5-3470 Socket LGA  1155 3.20ghz 6mb - Oem,139.9,193.46293739669406,41.416178921001745,345.5096958723864
Processador Desk Intel 1155 Core i3-2100 3.10ghz Oem,50.39,102.15310513263096,0.0,255.98558409547695
Processador Intel Core i5 7ª Geração De 4 Núcleos E 3.8ghz - Oem,392.17,454.9650743156393,0.0,1126.1613810097897
Processador Intel 265 Core Ultra 7 (1851) 3.9 Ghz Box (turbo 5.5 Ghz) - Bx80768265,2631.06,3724.6103911150913,0.0,9826.118962593966
"Processador Intel Core I5 11600K 11ª Geração, 3.90GHz, Cache 12MB, Hexa Core, 12 Threads, LGA 1200, Intel UHD Graphics 750 - BX8070811600K",2713.42,1352.1778899670521,311.2691362352043,2393.0866436989
Proc Intel Xeon Gold 6140 18 Cores 36t LGA 3647 Dell R440,528.0,443.5631675351811,0.0,2917.2224510216793
"Processador Intel I5-2400, 3.10ghz, 6mb Cache - Fclga1155.",91.87,240.18396647500776,0.0,643.5116012063717
Processador Intel Core I7 13700k Lga 1700 3.4ghz (5.4ghz Max Turbo) Cache 30MB 16 Núcleos 24 Threads - Bx8071513700k,2949.0,1888.359256503305,159.18082601474202,3617.537686991868
"Processador Intel Core i3-6100 3.7ghz, Socket LGA 1151, Ddr4, 3mb Cache, Hd Graphics 530 - Oem",70.9,220.66906141745426,0.0,466.18503002341515
"Processador Intel Core I5 7500, 3.4GHz, Cache 6MB, LGA 1151, Sem Cooler Tray - BX80677I57500",267.2,460.0447393281424,0.0,940.7167495587399
"Processador 1151 i5  9600 3,1ghz(4,6 Ghz) 9mb /6 Nuc /6 Thre i5-9600 Intel",660.0,325.9535526949929,15.710045340524516,636.1970600494612
"Processador Intel Core i7-12700, Cache 25MB, 2.1GHz (4.9GHz Max Turbo), LGA 1700 - BX8071512700",2499.99,1844.7879645110033,327.6210148762066,3361.9549141458
