nome,preco_pix,preco_previsto,faixa_baixo,faixa_alto
Placa De Vídeo Delta Rx580 GDDR5 8GB 256bits PCi-e 3.0 X16,1399.99,712.8026798046229,0.0,1820.4118273744148
Placa de Video MSI GeForce RTX 5060 TI 16Gb Ventus OC Black Plus 2X 128 Bits HDMI/3X DP - 912-V535-088,4999.99,6029.055424892376,4167.317514807495,7890.7933349772575
Geforce G210 1gb GDDR3 64bits - Winnfox - G210-1gd3,249.85,207.46577666108533,0.0,425.08405670756144
Placa De Video Vinik Geforce G210 1gb Ddr3 64 Bits Gpuvk2101gblp0k3,127.1,227.42458760212665,21.7584183997391,433.09075680451417
Placa De Vídeo PCie Gt730 4gb PCwinmax Ddr3,312.85,521.046058915062,0.0,1052.3510948034796
"Placa De Vídeo Inno3d Geforce Rtx 3060 12GB Twin X2, Gddr6, Dlss, Ray Tracing, 3x Dp / 1x HDMI - N30602-12d6-119032ah",2534.16,5612.829856270535,10.256478565127509,11215.403233975943
"Placa De Vídeo MSI GeForce RTX 5050 Gaming OC, Nvidia, 8GB, GDDR7, 128-Bit - G5050-8GC",2999.99,3070.8581283986537,1168.3363018693963,4973.379954927911
Placa De Vídeo Goline 4gb Radeon Rx550 GDDR5 - Gl-rx550-4gb,1006.5,762.2765248725688,87.41348223940986,1437.1395675057277
Espelho Low Profile Perfil Baixo Para Nvidia Quadro P400 E T400,80.41,1362.07134128802,0.0,2813.7845477367023
Placa De Video Gamer Nvidia GTX1660 SUPER 6gb 192bits Gddr6 HDMI,1422.02,1375.430870144619,608.1320720223105,2142.7296682669275
"Placa de Vídeo PCYes AMD Radeon RX 550, 4GB, PCI Express, Freesync - PJRX550DR5128B",1359.32,723.2473985430124,204.53877764004721,1241.9560194459777
Placa De Video Gamer Nvidia Gtx 1060 6gb 192bits GDDR5 HDMI,1193.38,1619.1801073743475,846.4725136707007,2391.8877010779943
Placa De Video Gainward Geforce RTX3050 6gb Gddr6 Pegasus 96bits Ne63050018je-1072e,1696.66,2107.391190407839,921.2388974955579,3293.5434833201202
Placa De Vídeo Asus Nvidia Geforce Prime RTX 5070 Ti 16gb Gddr7 256 Bits - Prime-RTX5070ti-16g,8999.0,8488.55870695277,6386.302933880964,10590.814480024575
"Placa De Video Vx Pro Nvidia Geforce Gt610lp, 2gb, Ddr3, 64bit, Gt610lp-2gd3 *",208.79,575.7332820262659,201.86861323684548,949.5979508156863
"Placa de Vídeo Asus RTX 3050 OC Dual NVIDIA GeForce 6GB, GDDR6, 96 Bits - DUAL-RTX3050-6G",1409.06,2108.453467242635,954.5012533319677,3262.405681153302
Placa De Vídeo Gigabyte Geforce RTX 5060 Ti Windforce 8GB Gddr7 128 Bits - Gv-n506twf2-8gd,3254.9,5115.844237078027,2837.3736285696896,7394.314845586364
Placa De Video Galax Geforce RTX 5060 Ex 8GB Gddr7 128-bit - 56nsn8mddaex,2852.91,3203.2972651126947,2331.9318907874544,4074.662639437935
Placa De Vídeo Msi N210-md 1gb Geforce G210 Ddr3 - N210-md1g/d3,495.35,274.33023867118675,0.0,1543.9888843182844
Placa De Video Amd Radeon 9070 Xt Xfx Quicksilver Gaming 16gb Rx-97tqickb9,6774.18,8675.20368686554,5463.931739432792,11886.475634298287
Placa De Video 4gb Gt730 Ddr3 64bit Vga/dvi/hdmi Vxgt730-4gd3-a Vxpro,321.79,521.046058915062,0.0,1052.3510948034796
"Placa de Vídeo Duex NVIDIA GeForce GTX 750 TI, 4GB GDDR5, 128 Bits - DX GTX750TI-4GD5",795.81,920.4770192452877,174.8734698285881,1666.0805686619874
"Placa de Vídeo Challenger ASRock, AMD Radeon RX 7600, 8GB, GDDR6, 128 Bits - 90-GA41ZZ-00UANF",2179.99,2205.5431068999364,1402.6242480487754,3008.4619657510975
"Placa de Vídeo Gigabyte RTX 5070 AERO 12G NVIDIA GeForce, 12GB GDDR7, 192bits, RGB, DLSS, Ray Tracing - 9VN5070AO-00-G10",6999.99,7305.2859762205835,4322.22317550429,10288.348776936877
"Placa de Vídeo XFX Mercury RX 9070 XT OC WHITE GAMING EDITION WITH AMD Radeon, RGB, 16GB, GDDR6, HDMI 3xDP, RDNA 4 - RX-97TRGBBW9",6599.99,7063.97938519957,4984.977103429812,9142.981666969328
Placa De Vídeo Biostar Super Extreme Gaming 8GB Geforce RTX2060 Gddr6 - Vn2066rf82,3940.95,3830.3833305746007,1301.0449912233635,6359.721669925838
"Placa de Vídeo Gigabyte RX 9070 XT AORUS ELITE 16G AMD Radeon, RGB, 16GB, GDDR6, 256bits, OpenGL 4.6 - GV-R9070XTAORUS E-16GD",6999.99,7413.693140926314,5166.709482972186,9660.676798880442
"Placa de Vídeo Palit NVIDIA GeForce RTX 3080 Gamingpro, 10GB GDDR6X - NED3080019IA-132AA",6999.99,4096.186047353653,1741.9888167124986,6450.383277994806
Placa De Vídeo Vinik Geforce Nvidia G210 Ddr3 64bits Low Profile - Gpuvk2101gblp.,141.04,38722.73426090532,8392.60315966665,69052.86536214399
Placa De Vídeo Gigabyte RTX 5060 Aero Oc 8GB Gddr7 128bits - Gv-n5060aero Oc-8gd,3178.0,3129.404531999767,2468.32880213822,3790.4802618613144
"Suporte Placa De Vídeo (GPU), Modelo F1 White, Fixação em cima dos Fans, Branco, Coolmoon CM-F1-W",58.85,169.2926025873326,0.0,592.5035390423537
Placa De Vídeo Gigabyte Geforce RTX 5070 Windforce Oc Sff 12gb Gddr7 192 Bits - Gv-n5070wf3oc-12gd,9699.0,7305.2859762205835,4322.22317550429,10288.348776936877
Placa De Vídeo Gigabyte Amd Radeon Rx 9070 Xt Gaming Oc 16gb Gddr6 256bit,6417.81,7413.693140926314,5166.709482972186,9660.676798880442
Placa De Video PCwinmax Radeon Rx 550 4gb GDDR5 128bits HDMI,566.67,762.2765248725688,87.41348223940986,1437.1395675057277
Placa De Vídeo Zotac Twin Edge Oc 16gb Geforce RTX5060ti Gddr7 - Zt-b50620h-10m,8952.73,5796.230233170043,3711.955180013955,7880.505286326131
Placa De Video Rx 6500 Xt 4gb Gddr6 64bits Kinology,1336.47,1615.3962967222512,735.6371064373703,2495.1554870071323
Placa De Video Pny Nvidia Quadro RTX 4000 Ada 20gb Gddr6 160-bit VcnRTX4000ada-pb,14552.99,10368.767007132576,0.0,24193.452193176185
Placa De Vídeo Gigabyte Geforce RTX 5070 Eagle Oc Ice Sff 12gb Gddr7 192 Bits - Gv-n5070eagleoc Ice-12gd,11668.94,7305.2859762205835,4322.22317550429,10288.348776936877
"Suporte Para Placa De Vídeo Ntc H21, Branco - H21WHT",37.71,318.88614607794267,0.0,1045.3834296036973
"Placa de Vídeo XFX RX 9060 XT OC Gaming AMD Radeon, 16GB, GDDR6, 128bits, 20 Gbps, FidelityFX, RDNA 4 - RX-96TSW16BQ",3999.99,4874.179531227118,2529.101692885834,7219.257369568402
Placa De Vídeo Asus Geforce RTX 5070 Ti Prime Oc 16gb Gddr7 256bits - Prime-RTX5070ti-o16g,8549.91,8488.55870695277,6386.302933880964,10590.814480024575
"Placa de Vídeo Galax NVIDIA GeForce GTX 1660, 6GB GDDR5, 1-Click OC - 60SRH7DSY91C",2890.0,1633.338772296314,833.9824253393526,2432.695119253275
Placa De Video Afox Geforce Gtx 1050 Ti Atx Dual Fan 4gb GDDR5 128 Bits - Af1050ti-4096d5h5-v8,1344.08,920.4770192452877,174.8734698285881,1666.0805686619874
"Placa De Vídeo Zotac RTX 5060 Ti Twin Edge Oc 16gb, Gddr7, Branco",5411.0,5796.230233170043,3711.955180013955,7880.505286326131
Placa De Vídeo Sapphire Gaming Pulse Oc 16gb Radeon Rx9060 Xt Gddr6 - 11350-03-20g,9322.84,4878.410159673873,3352.2243222284405,6404.595997119305
Placa De Vídeo Gigabyte Gaming Oc 16gb Geforce RTX5060ti Gddr7 - Gv-n506tgaming Oc-16gd,8910.01,5880.6370682599145,3369.9974258313914,8391.276710688438
"Placa de Vídeo PCYes NVIDIA GeForce GT 740, 4GB DDR5, 128 Bits - PA740GT12804D5FZ",630.0,925.6976075751594,262.24666280534746,1589.1485523449714
Placa De Vídeo Keepdata 4gb Geforce Gtx750ti GDDR5 - Kdgtx750ti-4gd5/128b,1202.97,920.4770192452877,174.8734698285881,1666.0805686619874
"Placa de Vídeo ASUS RTX 3050 Dual NVIDIA Geforce, 6GB, GDDR6, 96Bits - 90YV0K61-M0NA00",1999.99,2108.453467242635,954.5012533319677,3262.405681153302
Placa De Video Galax Geforce RTX™ 5060 Ti 1-click Oc 8GB 8GB Gddr7 128-bit - 56isn8mdcpct,3329.99,1621.484411819669,0.0,3245.6601764142724
Placa De Vídeo Zotac Gaming Twin Edge Oc 6gb Geforce RTX3050 Gddr6 - Zt-a30510h-10a,3129.37,2108.453467242635,838.9606028179353,3377.9463316673346
Placa De Vídeo Palit Dual Oc 8GB Geforce RTX5050 Gddr6 - Ne65050s19p1-gb2070d,4980.31,3035.2974385494745,1526.0911359941483,4544.503741104801
"Suporte Placa De Vídeo Ajustável De 7 A 12,5cm Nvidia Preto",23.79,1621.484411819669,0.7002578483175057,3242.2685657910206
"Placa De Vídeo Pcyes GTX 750 Ti NVIDIA GeForce, GDDR5 2GB, 128bits, Dual Fan - Pj750tir5df 3568",1014.65,527.469049788814,118.08166703009886,936.8564325475292
Placa De Video Gainward RTX 5070 Phoenix 12gb Gddr7 192 Bits - Ne75070019k9-gb2050x,5942.61,7136.487887079717,4536.038621242492,9736.937152916944
"Placa De Vídeo Pny Nvidia Quadro, RTX 4500 Ada Generation, 24GB, DDR6, 192bits - Vcnrtx4500ada-pb",22192.96,13033.779297900786,0.0,26402.277926658724
