nome,preco_pix,preco_previsto,faixa_baixo,faixa_alto
SSD Sandisk Plus 1TB - Sdssda-1t00-g28,997.59,1913.7341644483336,703.1892920039697,3124.279036892697
"SSD, Adata Legend 960, 2TB M.2 2280, PCie Nvme, Leitura 7400mb/s, Gravação 6800mb/s",3591.9,2920.3041800461174,1040.787886158488,4799.820473933747
SSD Keepdata M.2 2TB Nvme - Kdnv2t4.0-16gts,2425.71,2908.7858447073227,1011.6006713563249,4805.971018058321
"SSD Externo Kingston 1tb Portátil Xs1000, Preto, Prata",956.59,1757.4881489393163,0.0,3538.443058222456
Hd SSD Ceamere Preto Sata Iii – 512gb (2.5”),664.91,434.41531833148304,0.0,1073.5141496843835
SSD Externo 1TB Usb C 3.2 1050mb/s Leit Grav Pae06n Lpae06n001t-rnbng Lexar,856.9,1621.6539524100222,545.4289163210517,2697.878988498993
Hd SSD 480 Hawking,1679.97,613.3019355476404,0.0,1701.406167110319
SSD Externo Lexar 1TB Pae06n Portátil - Cinza (lpae06n001t-rnbng),1271.85,1621.6539524100222,545.4289163210517,2697.878988498993
"SSD WD 480GB Green 2.5"" Sata 3 - Wds480g3g0a 545mb/s",713.08,640.2031311914667,411.3464202341337,869.0598421487997
Nvme 1TB | Unidade De Estado Sólido Western Digital Sn3000 Nvme Pcie 4.0 5000/4200 Mb/s M.2 Ssd Wds100t4g0e-00cps0 Preto,1179.0,1469.3562453416894,563.2568390312283,2375.4556516521507
SSD 128GB Nvme Ceamere 2280 M.2 Solid State Drive,670.0,531.1553076577401,100.620083690034,961.6905316254462
Gaveta Case Para SSD M.2 Sata E Nvme Usb 3.0 Em Alumínio Até 10gbps Kp-hd812 - Prata,175.99,118.02734061212574,0.0,339.4344353497339
"SSD Externo Kingston Xs1000, 2TB, Usb 3.2 Gen 2 - Vermelho - Sxs1000r/2000g",1727.27,3818.3620941051468,1517.2525986740084,6119.471589536285
"SSD Patriot 480GB Burst Elite 2.5"" Sata 3 - Pbe480gs25ssdr",650.0,628.2020539609598,361.34805747984467,895.0560504420749
"SSD Externo Portátil Sandisk, 2TB, USB, Leitura: 800MB/s, Preto e Laranja - SDSSDE30-2T00-G26",1699.99,2909.1109292063234,887.8285840228564,4930.39327438979
SSD WD M.2 1TB Black Sn7100 Nvme - Wds100t4x0e,2584.44,1736.2929602219622,418.8755787868572,3053.710341657067
Ssd Nvme 256GB Ediloca En680e M.2 2280 Pcie 3.0 P/ Pc E Notebook,429.99,439.02846471398004,325.5417157568532,552.5152136711068
"SSD M.2 512GB NVMe, Leitura 2000MB/s, Gravação 1100MB/s - OEM",962.99,370.4380424872021,0.0,901.8960194381126
"Case Orico M2 Nvme PCie Usb 3.1 Gen 2, 10gbps - Alta Performance",149.98,118.02734061212574,0.0,339.4344353497339
SSD M.2 Nvme Gen5 Crucial T710 1TB Dissipador 14.900mb/s SSD PCie 5.0 M.2 Nvme Gen5 - Ct1000t710ssd5-01,2199.5,1583.7923326603461,663.7986304992147,2503.7860348214776
Hd Ssd 512gb 2.5 Netac Interno Sata3,549.99,542.0720193116545,78.02019986022162,1006.1238387630873
"SSD 1tb WD Green, Sata Iii 6 Gb/s, Leitura 545mb/s - Wds100t3g0a",1249.9,1195.4726697463511,414.69757186710945,1976.2477676255928
"SSD Kingston 1.92TB Dc600m 2.5"" Sata 3 - Sedc600m/1920g (server)",10416.85,11914.66407003471,2105.9280553259778,21723.400084743444
"SSD Externo Hiksemi, Edição Especial, Memória De Elefante, Redragon, 1TB, Gd803",787.87,1631.054189460462,553.6799111884386,2708.428467732486
Disco Sólido Externo Samsung Portable SSD T7 Mu-pc1t0 1TB Azul,1939.99,2175.3806463784354,1068.425886089796,3282.3354066670745
"Case Externa Ugreen, SSD M.2 Sata, Com Cabo USB A/c 50cm",108.55,758.1778004177081,103.05999999999995,1413.2956008354163
"SSD Samsung 990 Pro 2TB, M.2 Nvme PCie 4.0, Leitura 7450MBps, Gravação 6900MBps - Mz-V9p2t0bw",3679.08,3418.2987980069315,1696.6578729537855,5139.939723060077
"SSD Externo Kingston XS1000, 2 TB, USB 3.2 Gen 2x2, Portátil, Leitura: 1050 MB/s, Gravação: 1000 MB/s, Vermelho - SXS1000R/2000G",1669.99,3818.3620941051468,1517.2525986740084,6119.471589536285
"SSD Win Memory 120GB, SATA 3, Leitura 520MB/s E Gravação 540MB/s, Preto - Swr120g",163.7,249.7738569303703,0.0,558.3735364295525
Case Adaptador Hd M.2 Ngff Ou Nvme Para Type-c/ Usb3.0,149.57,557.5125593352182,0.0,1621.0516730419279
"SSD 1TB Sata Iii 2,5Polegadas 550MB/s Netcore - Net1000SSD1",992.9,1158.1247373374713,627.4372884377132,1688.8121862372295
SSD Patriot M.2 1TB P300 Nvme - P300p1TBm28,1259.77,1583.7923326603461,707.2355816799844,2460.3490836407077
