nome,preco_pix,preco_previsto,faixa_baixo,faixa_alto
Processador Amd Ryzen 7 5800xt 3.8ghz (4.8ghz Turbo) 8 Cores 16 Threads Am4 36mb Cache Wraith Prism Sem Video - 100-100001582box,2410.35,1817.742943164192,648.1329083303251,2987.352977998059
Processador Core i3 9100 LGA  1151  Oem Tray Sem Cooler,999.26,259.5719743256438,40.489522463877165,478.6544261874104
"Processador AMD Ryzen 7 9850X3D, 5.6GHz, AM5, 8 Core, Radeon Graphics, 120W - 100-100001973WOF",4999.99,4112.70058003406,0.0,22301.82456128508
"Processador Intel Core i9-12900f, LGA 1700, 2.4GHz (5.1GHz Turbo), Cachê 30MB, 16 Cores, 24 Threads, Sem Vídeo - Bx8071512900f",2940.2,3350.4182192449225,1550.805465402637,5150.030973087208
"Processador Intel Core I7 14700kF, 3.4 GHz (5.6GHZ Turbo), Cache 33MB, LGA1700 - Bx8071514700kf",2698.89,1951.1347598633538,0.0,3907.352630788067
Processador Desk Intel 1155 Core i7-2600 3.40ghz Oem,317.99,312.48950499259064,0.0,764.481098519472
Processador Intel Core i5-3470 Socket LGA  1155 3.20ghz 6mb - Oem,139.9,177.2843727366325,43.247165841994786,311.3215796312702
Processador Intel Core i5 14400f Tray LGA  1700 3.5 Ghz (4.7 Ghz Turbo) 10 Cores 16 Threads 20mb S/ Cooler S/ Vídeo,1279.43,1876.1802831638984,499.0420999084315,3253.318466419365
"Processador Intel Core i3-4150 3.5ghz, Socket LGA 1150, 3mb Cache, Hd Graphics 4400 - Oem",50.8,127.70892658584019,0.0,287.0893435340551
"Processador Intel Core i5-7500 3.4ghz (3.8ghz Turbo Max), Socket LGA 1151, Ddr4, 6mb Cache, Hd Graphics 630 - Oem",216.55,562.6730656445094,115.60839778266899,1009.7377335063497
PROCESSADOR DESKTOP INTEL i9 11ª GERAÇÃO I9-11900F **OEM,2052.52,1451.7532587024068,103.50651740481362,2800.0
"Processador Intel Core I7-14700f, Turbo Até 5.4ghz, 20-cores, 28-threads, 33mb Cache, LGA 1700 - Bx8071514700f",2720.81,1951.1347598633538,0.0,3907.352630788067
Processador Intel Core I7-12700f LGA  1700 3.60 Ghz 13mb Bx8071512700fi,1956.9,1951.1347598633538,0.0,3907.352630788067
"Processador Intel Core i5-2500k, 3.30 Ghz (turbo Até 3.70 Ghz), 4 Núcleos, 6 Mb Cache, LGA  1155, 2ª Geração, Tdp 95w,",318.89,1672.687538877426,0.0,19509.56035066813
Processador Intel i3-4150  3.50ghz  3mb Cache  FcLGA 1150,35.88,270.16507951217477,0.0,638.0366268561629
