nome,preco_pix,preco_previsto,faixa_baixo,faixa_alto
Fonte Mach1 Steady 500w 80 Plus Bronze Pfc Ativo Preta 500steady,299.0,293.9234557290795,143.55762044716454,444.2892910109944
Fonte Antec Neoeco Ne1000g M White Atx 3.0 1000w 80plus Gold Modular White - 1000w,1685.64,1133.291622666195,448.4204400378636,1818.1628052945266
Fonte De Alimentacao Brazil PC Atx 500w Tronos Pfc Ativo Trs/500pfc-v2,262.38,278.84795492932227,0.0,632.3284923429555
"Fonte Knup Kp-535 Cowboy, 600W, ATX, Real",269.99,206.0948951037937,0.0,483.380849463254
Fonte Cooler Master Elite Gold 1200 Fm A/wo Cord - Mpw-c001-afag-bwo,1923.25,664.662567590754,0.0,1401.7473254860163
"Fonte 500w Reference 80 Plus, Bronze, Pfc Ativo, Full Modular Rfps-500wbz",294.52,367.81884171108044,45.49732723196058,690.1403561902002
"Fonte Vinik Gamer Dash, 600W, Preto - VFG600WP",409.34,251.38845743989407,43.99873847842156,458.7781764013666
"Fonte Aerocool, 700W, 80 Plus Bronze, Sem Cabos, Preto -700 EN53381",349.9,395.0182646561011,145.27399509418305,644.7625342180191
Fonte De Alimentação Atx 750w Apfc Bpc V2 Semi-modular Preto E Vermelho,301.7,533.28896218638,0.0,1177.8281013256515
"Fonte C3Tech Gamer ATX, 600W, 80 Plus Bronze, PFC Ativo, Bivolt Automático, PS-G600B",259.0,302.0831341056706,110.33999645593352,493.8262717554077
Fonte Atx PCyes Electra 400w Pfc Ativo - Elec400w,244.18,241.18738726351395,57.973104931601625,424.40166959542626
"Fonte Knup ATX, 500W Real, 24P, Com Cabo, Bivolt - KP-522",94.99,179.22269822196515,74.13021013302391,284.31518631090637
"Fonte Montech Beta 2, 750W, Preto - BETA2750W",419.99,502.57808075394587,0.0,1113.6398435241802
Fonte Cooler Master Mwe 850w 80 Plus Gold Atx C/cabo - Mpe-8506-acag-bbr,579.0,797.4584460874341,164.61495828104228,1430.3019338938261
"Fonte Brazil PC 600w Real, Bivolt, Com Cabo De Energia, Cooler 120mm - Bpc-6350-b",131.6,206.0948951037937,0.0,483.380849463254
"Fonte Gamer Rise Mode Zeus, 850W, Modular, PFC Ativo, Preto - RM-PSU-01-PA-850",803.99,758.0591470771836,11.519866537373673,1504.5984276169936
"Fonte Gigabyte P650G PG5, 650W, 80 PLUS Gold, PFC Ativo, Preto - 28200-P65G5-1CBRR",319.99,660.3745961652405,0.0,1400.7373716816242
Fonte Atx 550w 80 Plus Bronze Pfc Ativo LED RGB Fo-max04RGB,370.35,382.504881301196,12.677964675786313,752.3317979266058
"Fonte 550w Brx B-s550w, Atx, Bivolt Automático",131.72,250.19582423335032,0.0,515.9683960281733
"Fonte Tronos Atx 230w Real Brazilpc Bpc-230v1.2, 230w O&m C/cabo",56.49,156.2857232615698,0.0,639.2872291576932
Fonte Gamer Atx Aerocool Stealth Vx-600 600w Bivolt [f002],270.94,206.0948951037937,0.0,483.380849463254
"Fonte Gamer Ktrok Power Supply, 500W, 80 Plus Bronze, PFC Ativo, Bivolt Automático, Preto - KT-PS500W",224.91,293.9234557290795,143.55762044716454,444.2892910109944
"Fonte Pixxo, C/ Cabo 250w - Pgc250",59.9,206.8347129887931,0.0,670.9960306509049
"Fonte 1000w 80 Plus Platinum Lian Li Edge, Atx, Full-modular, Black - Eg1000 Black Wo",1800.48,1634.043685828886,4.403488620451299,3263.683883037321
Fonte Atx 750w Real Maximus Fo-max03 Revenger ****,427.5,529.9809611281788,0.0,1176.8456403170517
"Fonte Aerocool ATX VX-350, 350W, PFC Ativo, Sem Cabo, Bivolt - EN57181",145.0,169.669113612935,35.10386372099603,304.23436350487395
"Fonte De Alimentacao C3tech, ATX, 500w, S/cabo - Ps-510bk",215.0,278.84795492932227,0.0,632.3284923429555
Fonte Atx 550w Real RGB Maximus Fo-max01RGB Revenger ****,405.0,343.3679210713683,0.0,756.3536561473101
4718466022561 - Fonte Gamer Lian Li 80 Plus Gold 1200 Watts Rs1200g Br Preto,1323.08,1202.2218021809285,0.0,4102.137268861841
Fonte Alimentação Atx 550w Bivolt PC Computador,351.49,343.3679210713683,0.0,756.3536561473101
"Fonte Nzxt C1000, Full-modular, 80plus Gold - 1000w",1799.0,1183.2224342316736,470.3614635779967,1896.0834048853503
"Fonte Atx 500w Duex, 80 Plus, Pfc Ativo, Com Cabo - Dx500fse+",204.6,222.33753672345594,36.01921848224012,408.6558549646718
"Fonte BRX Rainbow RGB, 650W, 80 Plus, PFC Ativo, Bivolt - RGB-650W",305.08,329.60001851798006,17.17577835283123,642.0242586831289
Fonte De Alimentação Acer Atx 1000w Ac1000 80+gold,1080.58,1026.5082272904262,314.17916364339305,1738.8372909374593
Fonte Gamer PCyes Electra 500w Pfc Ativo Preto Elec500w,195.83,248.82410742688685,83.4744069370588,414.1738079167149
Fonte Atx Gamer 650w Reais Cooler 120mm Brx PCi Express,210.39,329.60001851798006,17.17577835283123,642.0242586831289
Fonte De Alimentação Bluecase Blu350-cbaut 350w C/cabo,201.17,139.01427377125677,70.49727130331544,207.5312762391981
"Fonte 850w 80 Plus Gold Lian Li Edge Gold, Atx 3.1, Full-modular, Black - Eg0850g Black Br",985.6,845.4821871854374,203.15014333843885,1487.814231032436
Fonte Atx 20+4 K-mex 200w K-mex,117.76,123.44750504805205,0.0,448.06656975615203
Fonte De Alimentacao Msi 750w Mag A750gn PCie5 80 Plus Gold Atx PCie 5.0 - 306-7zpby19-ce0,739.68,726.6069006621697,228.0667169614582,1225.147084362881
Fonte De Alimentacao K-mex Pwez8898f Branca 500w 80 Plus White - Pwez8898fua0b3x,290.94,233.2513327214995,61.032456396733465,405.4702090462655
Fonte De Alimentação Vxpro Vx230se,41.15,206.0948951037937,0.0,483.380849463254
Fonte Corsair Rm1000x Shift White 1000w 80 Plus Gold Modular Branca - Cp-9020275-br,1869.0,1133.291622666195,448.4204400378636,1818.1628052945266
Fonte De Alimentação Bluecase 350w Pfc Ativo C/cabo Blu350-cmps2,125.0,139.01427377125677,70.49727130331544,207.5312762391981
Fonte De Alimentação Duex Dx-600fse C/ Cabo - Dx600fse White,154.7,239.35224127840817,55.95055880432204,422.7539237524943
Fonte Atx 500w Apfc Tronos Trs/500pfca 24 Pinos Box,142.94,179.22269822196515,74.13021013302391,284.31518631090637
"Fonte Hoopson Real, 500W, 115V e 230V - FNT-500W",303.15,179.22269822196515,74.13021013302391,284.31518631090637
