nome,preco_pix,preco_previsto,faixa_baixo,faixa_alto
"Placa De Vídeo RTX 3050 Msi Geforce, Low Profile, 6GB, GDDR6, 96 Bits - 912-V812-023",1384.9,2183.6373835449617,668.4955332989134,3698.77923379101
Placa De Vídeo PCyes RTX 3050 Projeto Edge 8GB Gddr6 128 Bits - PvRTX30508blpe,2054.36,2424.8732388516437,912.0163728724447,3937.7301048308427
"Placa De Vídeo Vinik Amd Radeon Rx 580, 8GB, GDDR5, 256 Bits, Gpuvk580v28GB2f",890.38,1492.4945595177771,124.17096650809117,2860.818152527463
Gpu Nvidia Geforce Gt740 2gb GDDR5 128 Bit Single Fan Projeto Edge - Pvgt740gb2pe,440.1,524.8150460979903,108.654465400643,940.9756267953376
Placa De Video PCyes Geforce RTX4060 8GB Gddr6 128bits - Pvr40608gr6df2,2606.04,2526.795204297543,440.349368667763,4613.241039927323
"Placa de Vídeo ASUS ROG ASTRAL RTX5090 WHITE NVIDIA Geforce, 32GB, GDDR7 - 90YV0LWA-M0NA00",30387.0,27460.558057717335,16989.14363249335,37931.97248294132
Placa De Video Msi Geforce RTX 5060 Shadow 2x Oc 8GB Gddr7 128 Bits 912-v537-037,3109.14,3347.360436950627,1485.57402725852,5209.146846642734
"Placa de Vídeo ASUS RTX 5080 PRIME OC 16G NVIDIA GeForce, 16GB, GDDR7, G-Sync, Ray Tracing, DLSS 4, HDR - 90YV0LX0-M0NA00",13000.01,15842.107064054215,6947.849698524949,24736.364429583482
Placa De Video Intel Arc B580 Maxsun,2299.0,3074.1461861682324,1435.2136414873985,4713.078730849066
"Placa de Vídeo ASUS PRIME RX 9060 XT OC 8G AMD Radeon, 8GB, GDDR6, 128bits, Triple Fan, OpenGL 4.6 - 90YV0MI0-M0NA00",4999.99,3703.646604282027,636.5553786569749,6770.737829907079
"Placa de Vídeo MSI RTX 5060 Shadow 2X OC NVIDIA GeForce, 8GB, GDDR7, 128-bit - 912-V537-038",3999.99,3341.457750518773,2101.2172513137466,4581.6982497238
Placa De Video Gigabyte Geforce RTX 5060 Eagle Oc Ice 8GB Gddr7 128bits Gv-n5060eagleocice-8gd,3983.46,3798.4760227539964,1267.9373516806218,6329.014693827371
"Placa De Vídeo RX 7600 Gaming Oc Gigabyte Radeon AMD, 8GB, GDDR6, 128 Bits - Gv-R76gaming Oc-8gd",1927.55,2296.172511109176,378.12431409393935,4214.220708124412
Placa De Vídeo Rx560 - 4gb Ddr5 - 128bit - Dvi/hdmi/dp - Single Fan - Chipset Baffin - Clanm,599.99,669.8925235680856,191.4026760707937,1148.3823710653776
"Placa De Vídeo Husky Alpha RTX 3060, Nvidia, 12GB, GDDR6, 192-Bit, Dual Fan, HDMI, 3x DisplayPort - HVG023060",2999.99,4512.486523808102,1740.890259167753,7284.0827884484515
Placa De Video Gigabyte Rx 9060 Xt Gaming Oc 8GB Gddr6 128bits - Gv-r9060xtgaming Oc-8gd,3110.55,3701.4558285731255,1386.4014267458324,6016.510230400419
Placa De Video 4gb Geforce - Gt730 - Winnfox - 128bits Gt730lp-4gd3-a Ddr3,344.31,466.6780635585973,243.44582051416552,689.9103066030291
"Placa de Vídeo ASUS PRIME RTX 5060 O8G NVIDIA GeForce, 8GB GDDR7, 2595MHz, 128 bits, DLSS 4, Triple Fan, Ray Tracing - PRIME-RTX5060-O8G",3701.0,3530.8000496411223,1526.79851008182,5534.801589200424
"Placa de Vídeo Galax NVIDIA GeForce RTX 3050 EX OC, 8GB GDDR6, LHR, 1-Click, 128 Bits - 35NSL8MD6YEX",2272.0,2516.0565101506154,986.4391081403858,4045.6739121608452
Placa de Vídeo PowerColor Hellhound AMD Radeon RX 9070 XT 16GB GDDR6 - RX9070XT 16G-L/OC,7999.99,7323.806377310903,4915.001626806883,9732.611127814924
"Suporte Placa De Vídeo Vertical, Rosqueável 50-80mm, Prata, Coolmoon GH-80",44.85,79.47185840562531,0.0,200.24502432695806
"Placa De Vídeo Zotac Gaming Nvidia Geforce RTX 5070 Solid Oc, 12gb, Gddr7, Dlss, Ray Tracing, Zt-b50700j-10p",6166.31,7525.142129383618,2504.170962452303,12546.113296314934
Placa De Vídeo Aitek - Gt730 (4GB - DDR3),431.91,477.14196246824383,234.8280612741156,719.455863662372
Placa De Vídeo Afox 1gb Radeon R5-230 Ddr3 - Afr5230-1024d3l9-v2,342.41,363.59207189843994,0.0,1051.8085619998114
Placa De Vídeo Msi Ventus 2x Oc 12gb Geforce RTX5070 Gddr7 - 912-v532-009,12456.86,7525.142129383618,3687.194942728224,11363.089316039013
