nome,preco_pix,preco_previsto,faixa_baixo,faixa_alto
Placa Mãe Lenovo Ideapad 330s Core™ i5 8250u Sucata C/ Video,129.0,896.4163893543509,0.0,2419.3075061198942
Placa Mãe Dell Latitude La-9431p Core™ i5-4310u 2 Slot Ddr3,339.0,267.67649575475434,0.0,559.0
Placa Mãe Nyvo H81g Matx Intel LGA  1150 Ddr3 HDMI Vga Rede Gigabit Nvme,260.04,302.3520659296884,0.0,1244.4891495066652
Placa Mãe Msi B550m-a Pro Ddr4 Socket Am4 M-atx Chipset Amd,655.0,896.1810768107438,398.70374525099214,1393.6584083704954
"Placa Mãe Gigabyte B850M Eagle Wifi6e Ice, Am5, Ddr5, Wi-fi 6, Atx, 9mb85ml6e-00-g11",1370.83,2127.617790085815,1315.253734826882,2939.9818453447483
"Placa Mãe Goldentec, AMD, A320 DDR4 | Gt",617.96,638.5413641334796,0.0,1457.44197741697
Placa Mãe Lenovo Nm-b301 Intel® Celeron®  Sucata,49.9,726.2591538502134,0.0,1924.3566650918006
"Placa Mãe Gigabyte B760 GAMING X GEN5, Intel LGA 1700, ATX, DDR5, PCIe 5.0 - B760 GAMING X GEN5",1199.99,1604.1980550584437,860.5588979727956,2347.8372121440916
Kit Placa Mãe H81 + Processador I5 4570 + Cooler,325.7,267.67649575475434,0.0,559.0
Placa Mãe Gigabyte B850 Gaming X Wifi6e Am5 4xDDR5 Amd B850 Atx,1785.25,1871.575916306903,1148.4736510240696,2594.6781815897366
Placa Mãe Asus Prime H510m-k R2.0 Lga 1200 - 90mb1e80-m0eay0,658.42,1088.950008769135,0.0,2352.1433299192886
Placa Mãe Bluecase BMBh110-g3hgu-d4 - LGA 1151 DDR4 - Chipset Intel H110 - Slot M.2 - Micro Atx,638.99,705.1267403449209,0.0,1430.445075454577
"Placa Mãe Asus Rog Strix B860-g Gaming Wifi, Intel LGA  1851, Atx, Ddr5, Wi-fi, Bluetooth - 90mb1jf0-m0eay0",2099.0,2418.6959736808567,1339.5803775869313,3497.811569774782
"Placa Mãe Gigabyte Z790m Aorus Elite Ax Ice R1.0, DDR5, LGA 1700, Micro ATX",2248.05,2083.706903640782,1223.6099132161517,2943.8038940654124
Placa Mãe Msi B850 Gaming Plus Wifi Pz Am5 4xDDR5 Chipset Amd B850 Atx,2316.82,1814.5975196171764,1031.810351750019,2597.384687484334
Placa Mãe Asrock B550m Pro Rs Am4 4xDDR4 Chipset Amd B550 Matx,832.0,989.0228833410988,651.3064178800438,1326.739348802154
"Placa-Mãe Duex, Intel LGA 1150, DDR3 - DX-H81M",435.86,320.7466852582055,0.0,2371.3881584010924
"Placa Mãe ASUS PRIME B840-PLUS WIFI, AMD AM5 , ATX, DDR5, Wi-fi 6e, Preto - PRIME B840-PLUS WIFI",1799.99,2436.3064598644896,725.9559378328318,4146.656981896147
Placa Mae LGA  1155 Dxmbh61g M2 Ddr3 Box Duex,209.45,357.83925557999925,0.0,883.5373987125606
Placa Mãe All One Lenovo Thinkcentre C5030 Intel® i5-4210u,326.0,896.4163893543509,0.0,2419.3075061198942
"Placa Mãe Biostar H610mhp 2.0, Chipset Intel H610, Ddr4, Matx",838.0,613.2939012512954,217.63886514843767,1008.9489373541533
"Placa-Mãe ASRock X870E Taichi WiFi, Ryzen AM5 X870E, ATX, DDR5 - 90-MXBP90-AOUAYZ",4599.99,3953.1158336658186,463.9161617942668,7442.31550553737
"Placa-Mãe ASUS PRO WS W790-ACE, Intel, CEB, DDR5, Preto - 90MB1C70-M0EAY0",7720.0,4024.960593142563,0.0,10868.95041359383
"Placa-Mãe Gigabyte B550I Aorus PRO AX 1.0, AMD AM4",2334.38,1132.0880804032377,0.0,2388.9343655735465
"Placa Mãe TUF GAMING X870-PRO WIFI7 W NEO, AMD AM5, ATX, DDR5, Wi-fi 7, Branco - 90MB1NY0-M0EAY0",3499.99,4374.554555426026,0.0,9255.096653774239
Placa Mãe Asrock B760m Pro Rs LGA  1700 4xDDR5 Chipset Intel B760 Matx,1029.9,1149.5168407963363,334.6894089303663,1964.3442726623061
Placa Mãe Gigabyte B760m Gaming Ac Ddr4 Wifi LGA 1700 2xDDR4 Chipset Intel B760 Express Matx,1155.93,1336.0196449749972,514.998175189059,2157.041114760935
Placa Mãe Gigabyte X870e Aorus Elite X3d Ice Wi-fi 7 Am5 4xDDR5 Chipset Amd X870e Atx,3708.38,3515.516585536443,1864.620166994138,5166.413004078748
Placa Mãe 1155p Macrovip Mv-h61 M.2 HDMI Vga Ddr3 Lan Giga,249.9,267.67649575475434,0.0,687.3503946722614
"Placa Mãe Msi Pro B650m-p, Matx Am5 Ddr5 HDMI, Displayport Vga M.2 Usb 3.2",994.38,1235.3804803249825,558.1574137519061,1912.603546898059
Placa Mãe LGA 1155 Chipset Intel B75 16gb Ddr3 Nvme M.2 Usb 3.0 HDMI,702.99,256.14672711549963,0.0,572.1067337093249
"Placa Mãe Knup, LGA 1200, Chipset, Intel H510, DDR4, 10º E 11º Geração",401.19,630.2815483248735,0.0,1923.7002962019426
"Placa Mãe ASUS TUF GAMING A620AM-PLUS WIFI, AMD AM5 , m-ATX, DDR5, Wi-fi6 - 90MB1MZ0-M0EAY0",1239.99,1126.3607905750653,379.0654894479925,1873.656091702138
Placa Mãe Msi Z890 Gaming Plus Wifi 7 LGA  1851 4xDDR5,2115.44,4387.980362402797,1779.7172057402518,6996.243519065343
