nome,preco_pix,preco_previsto,faixa_baixo,faixa_alto
"Memória Dale7, 1GB, 667Mhz, DDR2, Notebook, 1.8v",58.89,63.370473043112945,40.297456517038455,86.44348956918743
Memoria Ram Kingston 8GB Ddr3 13333mhz Notebook,160.2,386.7696334023205,0.0,953.0642526265638
"Memória Ram Corsair Vengeance, 16gb, Ddr5 5200mhz, Cl40, Preto - Cmk16gx5m1b5200c40.",1952.61,2926.8867501443924,2444.57168369322,3409.2018165955647
"Memória ADATA, 32GB, 3200MHz, DDR4, CL22, Para Desktop - AD4U320032G22 SNG",2768.9,2393.1592351234513,1467.8583923625233,3318.460077884379
"Memória ADATA, 8GB, 4800MHz, DDR5 - AD5U48008G S",1196.9,1048.4239244241849,455.0195307430995,1641.8283181052702
Memoria Desktop Ddr3 8GB Kingston 1600mhz Kvr16n11/8,159.9,358.80852131838816,0.0,979.9198807127186
Dissipador De Calor Memória RAM ARGB 5V 3 Pinos Controlável Cor: Branco,89.9,1266.3228475087808,516.9863476703082,2015.6593473472535
"Memória RAM para Notebook Corsair Vengeance, 32GB (2x16GB), 2666MHz, DDR4, CL18, Preto - CMSX32GX4M2A2666C18",2270.99,2408.620580722686,1353.131140337885,3464.1100211074872
"Memória Ram Para Desktop Macrovip, 8GB, 1600MHz, DDR3",298.0,283.46797339379197,86.94320122855441,479.9927455590295
Memória Crucial Notebook Ddr3l 4gb 1600 Mhz - 1.35v,99.0,138.44257381590876,29.575049118666,247.3100985131515
"Memória Crucial, 16GB, 5600Mhz, DDR5, para Notebook - Ct16g56c46s5",1880.0,1873.3838140338057,1085.96765091132,2660.7999771562913
Memoria 16gb Ddr5 Kingston 4800mhz Kvr48u40bs8-16,1657.72,2172.933479894185,1175.1609093363502,3170.7060504520196
"Memória Ram Para Notebook Kingston Fury Impact, 16GB, 3200Mhz, DDR4, CL20, Sodimm, Preto - Kf432s20ib/16",855.51,1291.818967214906,782.1601118882479,1801.4778225415641
"Mem?ria Kingston Fury Beast, RGB, 16gb, 6800mhz, Ddr5, Preto - Kf568c34bbea/16",2352.9,2815.879056905726,0.0,6254.814814148725
Memoria PCyes Sodimm 16gb Ddr5 5600mhz Pm165600d5so,3148.25,2558.0790522163,1586.0104445337008,3530.1476598988993
"Memória Gamer Xpg 8GB, Spectrix D35g, RGB, DDR4, 3200 Mhz, Branco - Ax4u32008g16a-swhd35g",731.9,862.9273645075026,541.4237211027562,1184.431007912249
Memória Ram 8GB Gta Tech Ddr3 1600mhz Cl11 1.5v,119.9,455.7461134457014,0.0,1266.3271738921173
Memoria   8GB P/ Notebook Kingston Ddr3 1600mhz Kvr16ls11/8,131.59,358.80852131838816,0.0,979.9198807127186
"Memória Dale7, 8GB, 2400Mhz, DDR4, Notebook, 1.2v",373.89,621.7596316816523,378.2061863793053,865.3130769839993
Memória 8GB Ddr3 1600 Mhz 1.5v Desktop Nyvo Essential Nesm16d3ud15/8,189.3,271.90807036743274,125.23384510183598,418.5822956330295
Memória Ram Kingston Fury Beast Ddr5 16gb 6800mhz RGB - Preto (kf568c34bba-16),3307.59,2815.879056905726,0.0,6254.814814148725
Memória Ram Notebook Crucial 8GB Ddr4 2133mhz Cl15 Ct8g4sfs8213,341.99,476.6804160233426,204.79183198106955,748.5690000656157
Memoria 16gb Ddr4 Para Dell R430 R530 R630 R730 R830,1499.0,1347.326948146633,844.800164181443,1849.8537321118229
"Memória RAM Kingston Fury Beast Expo, 32GB (2X16GB), 6000MT/s, DDR5, DIMM, CL30, Branco - KF560C30BWEK2-32",3809.9,3910.9521305492954,3322.3190187609807,4499.58524233761
Memoria Ram RGB 16gb Para Desktop - Delta (me6416),764.91,1284.7156745987093,590.5580706041258,1978.8732785932928
"Memória Gamer Dale7 No Limits, 16GB, 2133Mhz, DRR4, Desktop, Branco",668.89,677.4000994731522,126.91693986411633,1227.883259082188
Memória 8GB Ddr3 Para Dell Xps 8500 8700 Desktop C/nf,399.0,361.03856070384234,173.06840092367364,549.0087204840111
Memória Notebook Crucial 16gb Ddr4 2666mhz,899.0,790.4360359858356,523.2758916819748,1057.5961802896963
Memória Ram Kingston Fury Beast Ddr5 16gb 6400mhz Kf564c32bbe-16 Cl32 Dual Channel Alto Desempenho Gamer Overclocking,3183.47,2725.3602890485977,0.0,6169.289133067909
Mem 4gb Ddr4 Para Dell Inspiron 5370 14 3478 3468 5471 5468,332.5,245.87331729874043,112.6251001140098,379.12153448347107
Memória Ram Corsair Vengeance RGB Pro Ddr4 8GB 3200mhz - Preto (cmw8gx4m1z3200c16),848.71,852.3256630552521,485.5422264989058,1219.1090996115984
Memória Ram Kingston Fury Beast Ddr4 16gb 3200mhz RGB Kf432c16bb12a/16 Alta Performance Iluminação RGB Preto Gamer,1997.4,1325.416035917219,809.3246678743299,1841.5074039601081
Memória 16gb Ddr4 3200mhz Hiksemi Armor - Branca - Hsc416u32e2,1045.68,1347.326948146633,844.800164181443,1849.8537321118229
Memória Notebook Smart 16gb Ddr4 3200mhz,699.0,904.8990576292066,251.73661528406478,1558.0614999743484
Memória Ddr4 8GB 2666mhz Sodimm Sk Hynix,499.0,598.4357367880611,345.356371752592,851.5151018235304
"Memória Kingston, 8GB, 3200mhz, Ddr4, Cl22, Para Notebook - Kvr32s22s8/8",499.0,615.2054475201201,259.3784771483714,971.0324178918687
"Memória Ram Para Notebook Keepdata, 4GB, 2666MHz, DDR4, PC2666, 1.2V - KD26S19/4G",289.0,735.0944765655828,0.0,1827.2600858503724
"Memória Ram Keepdata, 16GB, 2666Mhz, DDR4, PC2666, 1.2V - KD26N19/16G",1299.0,862.3649887418837,0.0,1907.555944584705
Memoria PCyes Udimm 32gb Ddr4 3200mhz - Pm323200d4,2938.25,2741.2659840522424,1987.4004077823724,3495.1315603221124
"Memória RAM Kingston Fury Beast, 16GB, 5200MHz, DDR5, CL40, para Intel XMP, Preto - KF552C40BB-16",1729.9,1741.481378672498,1388.3211770636276,2094.6415802813685
"Memoria RAM para Notebook  Kingston 16GB, 2666MHz, DDR4 - KVR26S19S8/16",666.07,835.7277800435504,466.1254496359913,1205.3301104511095
Memória Sodimm 8GB Ddr5 5600mhz - Para Notebook Samsung - Oem,1385.99,1227.146947449655,615.5535982116467,1838.7402966876634
"Memória Gamer Dale7 No Limits, 8GB, 2666Mhz, DDR4, Desktop, Azul",459.89,534.9392793421399,315.35744964983974,754.5211090344401
Memória Ram Notebook Kingston Ddr5 16gb 5600mt/s,1499.0,1704.159470831072,894.3896452439199,2513.929296418224
"Memória Gamer Dale7 No Limit, 4GB, 1866Mhz, DDR3, Desktop, Branco",111.89,112.5482434395768,73.79951466830882,151.29697221084479
Memoria Ram Ddr4 16gb 3200mhz RGB Dissipador Westgatte,999.0,1388.7556489241713,896.6343954759611,1880.8769023723814
Memoria   8gb P/ Notebook Kingston Ddr4 2400mhz Kvr24s17s8/8,366.22,762.213559409031,404.0756458164615,1120.3514730016004
