nome,preco_pix,preco_previsto,faixa_baixo,faixa_alto
"HD SSD 256GB, Lexar - NS100",404.86,544.4538113944301,184.68629333203467,904.2213294568255
"SSD WD 500gb Sa510 Blue 2.5"" Sata 3 - Wds500g3b0a",975.92,854.676761831249,355.8898882113967,1353.4636354511013
"Hd SSD 480GB 2.5"" Msi Spatium",1358.07,1313.811543441378,0.0,4789.8111232249885
SSD M.2 1TB Lexar Nm610 Pro 2280 Nvme 1.4 PCie Gen3x4 Lnm610p001t-rnnng 3300/2600mb/s,1499.0,1335.8330761094437,551.9252355446719,2119.7409166742154
"SSD M.2 Nvme 480GB Patriot P310, Leitura: 1700mb/s E Gravação: 1500mb/s",16949.7,741.6436098995774,410.1650045659238,1073.1222152332311
"Disco Sólido Interno Kingston 480G, 480GB, Preto - Sa400s37",1124.1,785.3398598877639,144.00194949318552,1426.6777702823422
"SSD Ceamere 512GB SATA3 Solid State Drive 2,5 pol. Para PC E Notebook",1750.0,2453.467814837389,0.0,14488.610081157993
"SSD Bestbattery 240GB, Sata 3- 700s3w5",590.0,373.7610188581822,137.40124972078442,610.1207879955799
"Dissipador de Calor para SSD Nvme, Branco, M.2 (2280), Com LED ARGB, 5v 3 Pinos, Branco, Alumínio",68.9,444.68285494018755,0.0,1074.996876320313
SSD Ceamere 512gb Nvme 2280 M.2 Solid State Drive Para PC E Notebooks,890.0,564.9592097751755,0.0,2121.4161864983885
SSD 240GB Macrovip Sata Iii 500mb/s A 450mb/s  Mv240GB,349.9,383.31120414219004,238.58754964924543,528.0348586351347
SSD 2.5 Pol 256gb Sata Iii 6.0gb/s Hikvision - Hkm256s21b,599.0,511.7633440370371,0.0,1269.965204466674
SSD Keepdata M.2 512gb Sata 3 - Kdm512g-j12,848.71,878.8939467563696,376.3883452822216,1381.3995482305177
"SSD Rise Mode Gamer Line, 1TB, Leitura: 530MB/s, Gravação: 520MB/s, SATA III,  Preto - RM-SSD-1TB",1033.63,1398.02087236883,0.0,6350.997515543943
"SSD Adata Legend 860, 1TB, M.2 2280, PCIe Gen 4x4, NVMe Leitura: 6000MB/s, Gravação: 5000MB/s, Compatível com PS5, Preto - SLEG-860-1000GCS",1599.99,1439.3585788732566,725.4104208765984,2153.306736869915
SSD M.2 Nvme 2280 PCie 256gb Macrovip,323.65,590.476793846697,317.13534473616374,863.8182429572303
SSD Samsung M.2 1TB 990 Pro Nvme - Mz-v9p1t0b/am,3320.37,2374.1063673470408,395.5522560696779,4352.660478624403
Disco Sólido Interno Netac 1tb SSD Sata3 6gbs 3d Nand 2.5pol,821.97,1526.7741795469367,0.0,6907.805478535204
SSD 1TB 2.5 Sata 3 550mbs Leit 510mbs Grav Tessd1024g Cross Do Brasil,698.83,1139.6351888660815,519.4546124057791,1759.8157653263838
"SSD 256GB Dale7 Future Up+, 2.5'' sata 3.0 (6gb/s), Leitura 550mb/s, Gravação 500mb/s",315.89,471.99126092243455,130.14474618590083,813.8377756589682
SSD 1TB M.2 Nvme PCie 4.0 7000mbs Leit 6000mbs Grav Sgm1000ss7k Sgmax,1074.67,1495.3535149675401,616.6562726668567,2374.0507572682236
"SSD, XPG S70 Blade 2TB, M.2 NVME, PCIE GEN4x4, Leitura: 7400mb/s E Gravação: 6400mb/s, 3d Nand - AGAMMIXS70B-2T-CS",4049.99,3017.5668764607767,2353.752341729773,3681.3814111917804
"SSD Samsung 870 EVO, 2TB, SATA  2.5', Leitura 560MB/s - MZ-77E2T0B/AM.",5129.05,2364.2076592175717,586.4371280943592,4141.978190340784
"SSD Nvme Ktrok 512gb, M.2 2280, Leitura Até 1500 Mb/s E Gravação Até 1200 Mb/s - Ktrok512gb",592.27,584.5483825508259,0.0,1766.9384333145763
"SSD Adata 120GB, SU650, 520MBps, SATA 2.5 - ASU650SS-120GT-R",549.9,284.0903876647097,0.0,636.6152980130039
"SSD Kingston KC3000, 512 GB, M.2 2280, PCIe 4.0 x4, NVMe, Leitura: 7000 MB/s, Gravação: 3900 MB/s, Preto - SKC3000S/512G",1799.99,1202.3763022395096,388.1409926903176,2016.6116117887018
"SSD Gen4 Husky ThunderBoost, 512GB, M.2 NVMe, Leitura 4000 MB/s, Escrita 2200 MB/s - HSSD512GEN4",999.99,644.6923376662119,51.211403152392336,1238.1732721800313
"Sata Docking Station, Cópia Offline Hot Swap Double Slot 2x 18tb Hard Drive USB 3.0 Led RGB",269.9,1011.1303864985077,389.331492277733,1632.9292807192824
SSD Patriot M.2 1TB P320 Nvme - P320p1TBm28,1322.84,1657.1237385993848,724.5225699768779,2589.7249072218915
SSD Samsung 4TB T7 Portable Titan Gray Mu-pc4t0t/am,7485.0,6283.595714511166,3020.3437953682537,9546.847633654079
SSD Netac 512GB SATA III Leitura 560 MB/s Gravação 520 MB/s 3D Nand - Prata,549.99,2358.1905067063703,0.0,14175.983095852635
placa adaptadora nvme m.2 pci-express ssd fenvi,55.0,444.68285494018755,0.0,1074.996876320313
SSD 1TB M2 Nvme 2280 Prosetup Avanshare PCie Gen 3 X4 Leitura 1700mb/s Gravacao 1100mb/s,1020.0,1386.6029931261066,477.36721692366416,2295.838769328549
Ssd Cusu 256gb Nvme M2 2280 Pcie Gen3 - Super Velocidade,449.98,419.22579373491504,296.7684359703366,541.6831514994935
SSD Macrovip 256gb 2.5” Sata 3 - Mv256gb,359.0,575.9842430557944,253.5096293917232,898.4588567198657
"SSD 256gb Macrovip, M.2 2280, Sata Iii 6gb/s - Mvsam2/256gb",416.13,590.476793846697,317.13534473616374,863.8182429572303
HD SSD Gigabyte 480GB - Gp-gstfs31480gntd,699.9,1313.811543441378,0.0,4789.8111232249885
"SSD Kingston Nv3 1TB M.2 2280 Nvme Gen4, Desempenho E Eficiência Para Upgrade De PC – Snv3s/1000g",1097.1,2226.1566454081963,292.6389213490179,4159.674369467375
SSD 480GB Sandisk Plus 2.5' Sata Sdssda-480g-g26 Sandisk,599.75,635.6833079466603,347.9855576247396,923.381058268581
"SSD 240GB Hawking Sata3 2,5 7mm Hkpsa-240",282.78,373.7610188581822,137.40124972078442,610.1207879955799
SSD Netac 256GB SATA III Leitura 560 MB/s Gravação 520 MB/s 3D Nand - Prata,379.98,420.79027850971545,0.0,1062.792989884329
SSD 512gb M.2 Sata 3 500mb/s Leit - 450mb/s Grav Preto,729.69,449.9393037258512,0.0,1017.7145621809425
"Hd SSD Up Gamer Up500, 480GB, Sata 3, 550/500MB/s 5500",529.9,1727.1527248859916,0.0,6671.993063318472
Ssd WD 960GB Green M.2 2280 Sn350 Nvme Pcie Wds960g2g0c  Leitura 2400MB/s Gravação 1900MB/s,1034.1,1285.4357272871464,0.0,2628.9636070207903
"HD SSD M.2, XPG Adata Gammix S70 Blade, Pci-e, 4.0x4 - Agammixs70b-1t-cs 3559",1906.5,564.9592097751755,0.0,2121.4161864983885
"SSD 480GB Fnx Snfx17 Sata3 2,5""",619.9,1886.2634517589304,0.0,7026.206415337908
"SSD WD Sn350 1TB M.2 Nvme PCie, Leitura 2400MB/s E Gravação 1850MB/s - Wds100t2g0c",1053.79,1331.8819318527876,0.0,2722.406468496587
SSD 240 Gigas Ftx Sata 3 2.5 530mb/s Preto Cor:preto,259.9,529.9922387652613,0.0,1305.492477998444
"SSD Lexar NS100, 1TB, SATA III, 2.5"", Leitura: 550MB/s, Cinza - LNS100-1TRBNA",985.9,1161.0915085097827,661.2343750788192,1660.9486419407463
"SSD Lexar 1.92TB Nq100 2.5"" Sata 3 - Lnq100x1920g-rnnnu",1259.77,1006.3463990183491,391.7843684098117,1620.9084296268866
SSD 250GB S700 HP Sata 3 2.5Polegadas - 2dp98aa abb,387.11,506.05870363840785,0.0,1170.694473864695
NVME M.2 PCIe 3.0 SSD 2280 Gen3x4 512GB Disco Rígido Interno de Estado Sólido de Alta Velocidade para Portátil e Computador de Secretária KOOTION,629.99,466.4526681913665,0.0,1107.777392005848
"SSD Samsung 990 Pro 2TB, M.2 Nvme PCie 4.0, Leitura 7450MBps, Gravação 6900MBps - Mz-V9p2t0bw",3679.08,3675.5830819104976,1333.7114796063956,6017.454684214599
"SSD Adata Su650 240GB, Leitura 520 MB/s, Gravação 450MB/s - Asu650ss-240gt-r",339.77,436.60835386949077,55.91873500703571,817.2979727319458
